AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220629_2D1EF3F677,FALTER_20220302_19351A344E,FALTER_20220511_3AA9B1253E,FALTER_20220504_88561D5AE3,FALTER_20220504_88561D5AE3,FALTER_20220511_3AA9B1253E
FALTER_20220921_22135BD9FB,FALTER_20221102_92EEC85C8A,FALTER_20220511_461297900C,FALTER_20220413_272C337CE3,FALTER_20220413_272C337CE3,FALTER_20220921_22135BD9FB
FALTER_20220216_154FB2A50F,FALTER_20220504_21926FB373,FALTER_20220511_71668B1344,FALTER_20220413_EDC7023A23,FALTER_20220504_21926FB373,FALTER_20220511_71668B1344
FALTER_20220511_964B3F8189,FALTER_20220713_038D7E7989,FALTER_20220504_E5FD52ABF3,FALTER_20221102_92EEC85C8A,FALTER_20220511_964B3F8189,FALTER_20220504_E5FD52ABF3
FALTER_20220511_461297900C,FALTER_20220511_3AA9B1253E,FALTER_20220504_21926FB373,FALTER_20220216_154FB2A50F,FALTER_20220504_21926FB373,FALTER_20220511_3AA9B1253E
FALTER_20220413_EDC7023A23,FALTER_20220921_22135BD9FB,FALTER_20220504_88561D5AE3,FALTER_20220302_19351A344E,FALTER_20220504_88561D5AE3,FALTER_20220413_EDC7023A23
FALTER_20220413_272C337CE3,FALTER_20220511_964B3F8189,FALTER_20220511_71668B1344,FALTER_20220629_2D1EF3F677,FALTER_20220413_272C337CE3,FALTER_20220511_71668B1344
FALTER_20220713_038D7E7989,FALTER_20220504_E5FD52ABF3,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,FALTER_20220713_038D7E7989,FALTER_20220504_E5FD52ABF3
FALTER_20221102_92EEC85C8A,FALTER_20220511_3AA9B1253E,FALTER_20220713_038D7E7989,FALTER_20220413_272C337CE3,FALTER_20220413_272C337CE3,FALTER_20220511_3AA9B1253E
FALTER_20220216_154FB2A50F,FALTER_20220504_88561D5AE3,FALTER_20220629_2D1EF3F677,FALTER_20220511_71668B1344,FALTER_20220504_88561D5AE3,FALTER_20220511_71668B1344
FALTER_20220921_22135BD9FB,FALTER_20220511_964B3F8189,FALTER_20220511_461297900C,FALTER_20220504_21926FB373,FALTER_20220504_21926FB373,FALTER_20220921_22135BD9FB
FALTER_20220504_E5FD52ABF3,FALTER_20220511_71668B1344,FALTER_20220713_038D7E7989,FALTER_20220413_272C337CE3,FALTER_20220413_272C337CE3,FALTER_20220511_71668B1344
FALTER_20220504_88561D5AE3,FALTER_20220629_2D1EF3F677,FALTER_20220216_154FB2A50F,FALTER_20220511_964B3F8189,FALTER_20220504_88561D5AE3,FALTER_20220629_2D1EF3F677
FALTER_20220504_E5FD52ABF3,FALTER_20220504_21926FB373,FALTER_20220921_22135BD9FB,FALTER_20220511_3AA9B1253E,FALTER_20220504_21926FB373,FALTER_20220511_3AA9B1253E
FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,FALTER_20220511_461297900C,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20220413_EDC7023A23
FALTER_20220629_2D1EF3F677,FALTER_20220511_3AA9B1253E,FALTER_20221102_92EEC85C8A,FALTER_20220413_EDC7023A23,FALTER_20221102_92EEC85C8A,FALTER_20220629_2D1EF3F677
FALTER_20220413_272C337CE3,FALTER_20220511_461297900C,FALTER_20220302_19351A344E,FALTER_20220504_E5FD52ABF3,FALTER_20220413_272C337CE3,FALTER_20220504_E5FD52ABF3
FALTER_20220504_88561D5AE3,FALTER_20220921_22135BD9FB,FALTER_20220713_038D7E7989,FALTER_20220504_21926FB373,FALTER_20220504_21926FB373,FALTER_20220921_22135BD9FB
FALTER_20220511_71668B1344,FALTER_20220511_964B3F8189,FALTER_20220216_154FB2A50F,FALTER_20220413_272C337CE3,FALTER_20220413_272C337CE3,FALTER_20220511_71668B1344
FALTER_20220413_EDC7023A23,FALTER_20220629_2D1EF3F677,FALTER_20220511_964B3F8189,FALTER_20220216_154FB2A50F,FALTER_20220216_154FB2A50F,FALTER_20220629_2D1EF3F677
FALTER_20220713_038D7E7989,FALTER_20220511_461297900C,FALTER_20220504_21926FB373,FALTER_20220511_71668B1344,FALTER_20220504_21926FB373,FALTER_20220511_71668B1344
FALTER_20221102_92EEC85C8A,FALTER_20220504_88561D5AE3,FALTER_20220504_E5FD52ABF3,FALTER_20220921_22135BD9FB,FALTER_20221102_92EEC85C8A,FALTER_20220921_22135BD9FB
FALTER_20220511_3AA9B1253E,FALTER_20220302_19351A344E,FALTER_20220713_038D7E7989,FALTER_20220216_154FB2A50F,FALTER_20220216_154FB2A50F,FALTER_20220511_3AA9B1253E
FALTER_20220413_272C337CE3,FALTER_20220511_3AA9B1253E,FALTER_20220504_88561D5AE3,FALTER_20220921_22135BD9FB,FALTER_20220413_272C337CE3,FALTER_20220921_22135BD9FB
FALTER_20220511_964B3F8189,FALTER_20220504_E5FD52ABF3,FALTER_20220413_EDC7023A23,FALTER_20220504_21926FB373,FALTER_20220504_21926FB373,FALTER_20220504_E5FD52ABF3
FALTER_20220511_461297900C,FALTER_20220629_2D1EF3F677,FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20220629_2D1EF3F677
FALTER_20220511_71668B1344,FALTER_20220504_88561D5AE3,FALTER_20220302_19351A344E,FALTER_20220511_964B3F8189,FALTER_20220504_88561D5AE3,FALTER_20220511_71668B1344
FALTER_20220504_21926FB373,FALTER_20220413_272C337CE3,FALTER_20220504_E5FD52ABF3,FALTER_20220629_2D1EF3F677,FALTER_20220504_21926FB373,FALTER_20220629_2D1EF3F677
FALTER_20220511_461297900C,FALTER_20221102_92EEC85C8A,FALTER_20220511_71668B1344,FALTER_20220413_EDC7023A23,FALTER_20221102_92EEC85C8A,FALTER_20220511_71668B1344
FALTER_20220921_22135BD9FB,FALTER_20220713_038D7E7989,FALTER_20220511_3AA9B1253E,FALTER_20220216_154FB2A50F,FALTER_20220216_154FB2A50F,FALTER_20220511_3AA9B1253E
