AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220713_D8612F682B,FALTER_20220316_A159C3BA90,FALTER_20220518_1B9E34C8DD,FALTER_20220511_63A4F6D2A6,FALTER_20220713_D8612F682B,FALTER_20220518_1B9E34C8DD
FALTER_20221005_EFE73D7D5E,FALTER_20221116_0FCB20CC6E,FALTER_20220518_B1F6C572A8,FALTER_20220413_41501B8D61,FALTER_20221116_0FCB20CC6E,FALTER_20221005_EFE73D7D5E
FALTER_20211215_AF0C90B712,FALTER_20220511_419A1ECDD7,FALTER_20220518_C2AF7B89DE,FALTER_20220427_7C0FE67882,FALTER_20220518_C2AF7B89DE,FALTER_20220511_419A1ECDD7
FALTER_20220608_6A27A6CE72,FALTER_20221005_AEB2C76D66,FALTER_20220518_15FDDA31FA,FALTER_20221116_0FCB20CC6E,FALTER_20220608_6A27A6CE72,FALTER_20220518_15FDDA31FA
FALTER_20220518_B1F6C572A8,FALTER_20220518_1B9E34C8DD,FALTER_20220511_419A1ECDD7,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220518_1B9E34C8DD
FALTER_20220427_7C0FE67882,FALTER_20221005_EFE73D7D5E,FALTER_20220511_63A4F6D2A6,FALTER_20220316_A159C3BA90,FALTER_20220511_63A4F6D2A6,FALTER_20221005_EFE73D7D5E
FALTER_20220413_41501B8D61,FALTER_20220608_6A27A6CE72,FALTER_20220518_C2AF7B89DE,FALTER_20220713_D8612F682B,FALTER_20220713_D8612F682B,FALTER_20220413_41501B8D61
FALTER_20221005_AEB2C76D66,FALTER_20220518_15FDDA31FA,FALTER_20220316_A159C3BA90,FALTER_20220427_7C0FE67882,FALTER_20220427_7C0FE67882,FALTER_20220518_15FDDA31FA
FALTER_20221116_0FCB20CC6E,FALTER_20220518_1B9E34C8DD,FALTER_20221005_AEB2C76D66,FALTER_20220413_41501B8D61,FALTER_20221005_AEB2C76D66,FALTER_20220413_41501B8D61
FALTER_20211215_AF0C90B712,FALTER_20220511_63A4F6D2A6,FALTER_20220713_D8612F682B,FALTER_20220518_C2AF7B89DE,FALTER_20220713_D8612F682B,FALTER_20211215_AF0C90B712
FALTER_20221005_EFE73D7D5E,FALTER_20220608_6A27A6CE72,FALTER_20220518_B1F6C572A8,FALTER_20220511_419A1ECDD7,FALTER_20220608_6A27A6CE72,FALTER_20221005_EFE73D7D5E
FALTER_20220518_15FDDA31FA,FALTER_20220518_C2AF7B89DE,FALTER_20221005_AEB2C76D66,FALTER_20220413_41501B8D61,FALTER_20220518_C2AF7B89DE,FALTER_20220413_41501B8D61
FALTER_20220511_63A4F6D2A6,FALTER_20220713_D8612F682B,FALTER_20211215_AF0C90B712,FALTER_20220608_6A27A6CE72,FALTER_20220713_D8612F682B,FALTER_20211215_AF0C90B712
FALTER_20220518_15FDDA31FA,FALTER_20220511_419A1ECDD7,FALTER_20221005_EFE73D7D5E,FALTER_20220518_1B9E34C8DD,FALTER_20220511_419A1ECDD7,FALTER_20220518_15FDDA31FA
FALTER_20220316_A159C3BA90,FALTER_20220427_7C0FE67882,FALTER_20220518_B1F6C572A8,FALTER_20221116_0FCB20CC6E,FALTER_20220427_7C0FE67882,FALTER_20220316_A159C3BA90
FALTER_20220713_D8612F682B,FALTER_20220518_1B9E34C8DD,FALTER_20221116_0FCB20CC6E,FALTER_20220427_7C0FE67882,FALTER_20220713_D8612F682B,FALTER_20221116_0FCB20CC6E
FALTER_20220413_41501B8D61,FALTER_20220518_B1F6C572A8,FALTER_20220316_A159C3BA90,FALTER_20220518_15FDDA31FA,FALTER_20220518_B1F6C572A8,FALTER_20220413_41501B8D61
FALTER_20220511_63A4F6D2A6,FALTER_20221005_EFE73D7D5E,FALTER_20221005_AEB2C76D66,FALTER_20220511_419A1ECDD7,FALTER_20221005_AEB2C76D66,FALTER_20221005_EFE73D7D5E
FALTER_20220518_C2AF7B89DE,FALTER_20220608_6A27A6CE72,FALTER_20211215_AF0C90B712,FALTER_20220413_41501B8D61,FALTER_20220608_6A27A6CE72,FALTER_20220413_41501B8D61
FALTER_20220427_7C0FE67882,FALTER_20220713_D8612F682B,FALTER_20220608_6A27A6CE72,FALTER_20211215_AF0C90B712,FALTER_20220713_D8612F682B,FALTER_20211215_AF0C90B712
FALTER_20221005_AEB2C76D66,FALTER_20220518_B1F6C572A8,FALTER_20220511_419A1ECDD7,FALTER_20220518_C2AF7B89DE,FALTER_20220518_C2AF7B89DE,FALTER_20221005_AEB2C76D66
FALTER_20221116_0FCB20CC6E,FALTER_20220511_63A4F6D2A6,FALTER_20220518_15FDDA31FA,FALTER_20221005_EFE73D7D5E,FALTER_20220511_63A4F6D2A6,FALTER_20221005_EFE73D7D5E
FALTER_20220518_1B9E34C8DD,FALTER_20220316_A159C3BA90,FALTER_20221005_AEB2C76D66,FALTER_20211215_AF0C90B712,FALTER_20221005_AEB2C76D66,FALTER_20211215_AF0C90B712
FALTER_20220413_41501B8D61,FALTER_20220518_1B9E34C8DD,FALTER_20220511_63A4F6D2A6,FALTER_20221005_EFE73D7D5E,FALTER_20220518_1B9E34C8DD,FALTER_20220413_41501B8D61
FALTER_20220608_6A27A6CE72,FALTER_20220518_15FDDA31FA,FALTER_20220427_7C0FE67882,FALTER_20220511_419A1ECDD7,FALTER_20220608_6A27A6CE72,FALTER_20220518_15FDDA31FA
FALTER_20220518_B1F6C572A8,FALTER_20220713_D8612F682B,FALTER_20220316_A159C3BA90,FALTER_20221116_0FCB20CC6E,FALTER_20220713_D8612F682B,FALTER_20220316_A159C3BA90
FALTER_20220518_C2AF7B89DE,FALTER_20220511_63A4F6D2A6,FALTER_20220316_A159C3BA90,FALTER_20220608_6A27A6CE72,FALTER_20220518_C2AF7B89DE,FALTER_20220316_A159C3BA90
FALTER_20220511_419A1ECDD7,FALTER_20220413_41501B8D61,FALTER_20220518_15FDDA31FA,FALTER_20220713_D8612F682B,FALTER_20220713_D8612F682B,FALTER_20220413_41501B8D61
FALTER_20220518_B1F6C572A8,FALTER_20221116_0FCB20CC6E,FALTER_20220518_C2AF7B89DE,FALTER_20220427_7C0FE67882,FALTER_20220518_C2AF7B89DE,FALTER_20221116_0FCB20CC6E
FALTER_20221005_EFE73D7D5E,FALTER_20221005_AEB2C76D66,FALTER_20220518_1B9E34C8DD,FALTER_20211215_AF0C90B712,FALTER_20221005_AEB2C76D66,FALTER_20221005_EFE73D7D5E
