AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220803_6CB53C4244,FALTER_20211222_A35407C20B,FALTER_20220309_FE59453C09,FALTER_20220309_54EDF6DE99,FALTER_20220309_FE59453C09,FALTER_20220309_54EDF6DE99
FALTER_20221207_B73CB9A5D3,FALTER_20221207_E9494FF749,FALTER_20220420_4A481AAD54,FALTER_20220112_E00A9069A5,FALTER_20220420_4A481AAD54,FALTER_20220112_E00A9069A5
FALTER_20211215_AF0C90B712,FALTER_20220216_6AA6C74CE3,FALTER_20220608_EB939901FB,FALTER_20220209_1C0C95BDCB,FALTER_20211215_AF0C90B712,FALTER_20220608_EB939901FB
FALTER_20220803_106498EA98,FALTER_20220907_E1CBB33DF0,FALTER_20220309_F7DC749A0D,FALTER_20221207_E9494FF749,FALTER_20221207_E9494FF749,FALTER_20220309_F7DC749A0D
FALTER_20220420_4A481AAD54,FALTER_20220309_FE59453C09,FALTER_20220216_6AA6C74CE3,FALTER_20211215_AF0C90B712,FALTER_20220420_4A481AAD54,FALTER_20220216_6AA6C74CE3
FALTER_20220209_1C0C95BDCB,FALTER_20221207_B73CB9A5D3,FALTER_20220309_54EDF6DE99,FALTER_20211222_A35407C20B,FALTER_20221207_B73CB9A5D3,FALTER_20220309_54EDF6DE99
FALTER_20220112_E00A9069A5,FALTER_20220803_106498EA98,FALTER_20220608_EB939901FB,FALTER_20220803_6CB53C4244,FALTER_20220803_106498EA98,FALTER_20220112_E00A9069A5
FALTER_20220907_E1CBB33DF0,FALTER_20220309_F7DC749A0D,FALTER_20211222_A35407C20B,FALTER_20220209_1C0C95BDCB,FALTER_20220907_E1CBB33DF0,FALTER_20220309_F7DC749A0D
FALTER_20221207_E9494FF749,FALTER_20220309_FE59453C09,FALTER_20220907_E1CBB33DF0,FALTER_20220112_E00A9069A5,FALTER_20221207_E9494FF749,FALTER_20220112_E00A9069A5
FALTER_20211215_AF0C90B712,FALTER_20220309_54EDF6DE99,FALTER_20220803_6CB53C4244,FALTER_20220608_EB939901FB,FALTER_20211215_AF0C90B712,FALTER_20220309_54EDF6DE99
FALTER_20221207_B73CB9A5D3,FALTER_20220803_106498EA98,FALTER_20220420_4A481AAD54,FALTER_20220216_6AA6C74CE3,FALTER_20220420_4A481AAD54,FALTER_20220216_6AA6C74CE3
FALTER_20220309_F7DC749A0D,FALTER_20220608_EB939901FB,FALTER_20220907_E1CBB33DF0,FALTER_20220112_E00A9069A5,FALTER_20220907_E1CBB33DF0,FALTER_20220112_E00A9069A5
FALTER_20220309_54EDF6DE99,FALTER_20220803_6CB53C4244,FALTER_20211215_AF0C90B712,FALTER_20220803_106498EA98,FALTER_20211215_AF0C90B712,FALTER_20220309_54EDF6DE99
FALTER_20220309_F7DC749A0D,FALTER_20220216_6AA6C74CE3,FALTER_20221207_B73CB9A5D3,FALTER_20220309_FE59453C09,FALTER_20221207_B73CB9A5D3,FALTER_20220309_F7DC749A0D
FALTER_20211222_A35407C20B,FALTER_20220209_1C0C95BDCB,FALTER_20220420_4A481AAD54,FALTER_20221207_E9494FF749,FALTER_20220420_4A481AAD54,FALTER_20220209_1C0C95BDCB
FALTER_20220803_6CB53C4244,FALTER_20220309_FE59453C09,FALTER_20221207_E9494FF749,FALTER_20220209_1C0C95BDCB,FALTER_20220309_FE59453C09,FALTER_20220209_1C0C95BDCB
FALTER_20220112_E00A9069A5,FALTER_20220420_4A481AAD54,FALTER_20211222_A35407C20B,FALTER_20220309_F7DC749A0D,FALTER_20220420_4A481AAD54,FALTER_20220112_E00A9069A5
FALTER_20220309_54EDF6DE99,FALTER_20221207_B73CB9A5D3,FALTER_20220907_E1CBB33DF0,FALTER_20220216_6AA6C74CE3,FALTER_20221207_B73CB9A5D3,FALTER_20220309_54EDF6DE99
FALTER_20220608_EB939901FB,FALTER_20220803_106498EA98,FALTER_20211215_AF0C90B712,FALTER_20220112_E00A9069A5,FALTER_20211215_AF0C90B712,FALTER_20220112_E00A9069A5
FALTER_20220209_1C0C95BDCB,FALTER_20220803_6CB53C4244,FALTER_20220803_106498EA98,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220209_1C0C95BDCB
FALTER_20220907_E1CBB33DF0,FALTER_20220420_4A481AAD54,FALTER_20220216_6AA6C74CE3,FALTER_20220608_EB939901FB,FALTER_20220420_4A481AAD54,FALTER_20220216_6AA6C74CE3
FALTER_20221207_E9494FF749,FALTER_20220309_54EDF6DE99,FALTER_20220309_F7DC749A0D,FALTER_20221207_B73CB9A5D3,FALTER_20221207_B73CB9A5D3,FALTER_20220309_54EDF6DE99
FALTER_20220309_FE59453C09,FALTER_20211222_A35407C20B,FALTER_20220907_E1CBB33DF0,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220907_E1CBB33DF0
FALTER_20220112_E00A9069A5,FALTER_20220309_FE59453C09,FALTER_20220309_54EDF6DE99,FALTER_20221207_B73CB9A5D3,FALTER_20221207_B73CB9A5D3,FALTER_20220112_E00A9069A5
FALTER_20220803_106498EA98,FALTER_20220309_F7DC749A0D,FALTER_20220209_1C0C95BDCB,FALTER_20220216_6AA6C74CE3,FALTER_20220803_106498EA98,FALTER_20220309_F7DC749A0D
FALTER_20220420_4A481AAD54,FALTER_20220803_6CB53C4244,FALTER_20211222_A35407C20B,FALTER_20221207_E9494FF749,FALTER_20220420_4A481AAD54,FALTER_20221207_E9494FF749
FALTER_20220608_EB939901FB,FALTER_20220309_54EDF6DE99,FALTER_20211222_A35407C20B,FALTER_20220803_106498EA98,FALTER_20220803_106498EA98,FALTER_20220309_54EDF6DE99
FALTER_20220216_6AA6C74CE3,FALTER_20220112_E00A9069A5,FALTER_20220309_F7DC749A0D,FALTER_20220803_6CB53C4244,FALTER_20220803_6CB53C4244,FALTER_20220112_E00A9069A5
FALTER_20220420_4A481AAD54,FALTER_20221207_E9494FF749,FALTER_20220608_EB939901FB,FALTER_20220209_1C0C95BDCB,FALTER_20220420_4A481AAD54,FALTER_20220209_1C0C95BDCB
FALTER_20221207_B73CB9A5D3,FALTER_20220907_E1CBB33DF0,FALTER_20220309_FE59453C09,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220907_E1CBB33DF0
