AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220810_BA22292727,FALTER_20211222_40076C3AB9,FALTER_20220406_7C4E975FD1,FALTER_20220323_B272A60E63,FALTER_20220323_B272A60E63,FALTER_20220406_7C4E975FD1
FALTER_20220817_5081C79795,FALTER_20221102_D4FD5EB4A6,FALTER_20220518_B804602C3C,FALTER_20220112_8EAECAFBBC,FALTER_20220817_5081C79795,FALTER_20220112_8EAECAFBBC
FALTER_20211215_AF0C90B712,FALTER_20220223_CDDF5A96F6,FALTER_20220629_3529909DD4,FALTER_20220119_DC6490CEC7,FALTER_20220629_3529909DD4,FALTER_20220119_DC6490CEC7
FALTER_20220727_7BBF96391C,FALTER_20220810_D7E2127763,FALTER_20220406_3B5172364F,FALTER_20221102_D4FD5EB4A6,FALTER_20220810_D7E2127763,FALTER_20221102_D4FD5EB4A6
FALTER_20220518_B804602C3C,FALTER_20220406_7C4E975FD1,FALTER_20220223_CDDF5A96F6,FALTER_20211215_AF0C90B712,FALTER_20220223_CDDF5A96F6,FALTER_20220406_7C4E975FD1
FALTER_20220119_DC6490CEC7,FALTER_20220817_5081C79795,FALTER_20220323_B272A60E63,FALTER_20211222_40076C3AB9,FALTER_20220323_B272A60E63,FALTER_20220119_DC6490CEC7
FALTER_20220112_8EAECAFBBC,FALTER_20220727_7BBF96391C,FALTER_20220629_3529909DD4,FALTER_20220810_BA22292727,FALTER_20220629_3529909DD4,FALTER_20220112_8EAECAFBBC
FALTER_20220810_D7E2127763,FALTER_20220406_3B5172364F,FALTER_20211222_40076C3AB9,FALTER_20220119_DC6490CEC7,FALTER_20220810_D7E2127763,FALTER_20220119_DC6490CEC7
FALTER_20221102_D4FD5EB4A6,FALTER_20220406_7C4E975FD1,FALTER_20220810_D7E2127763,FALTER_20220112_8EAECAFBBC,FALTER_20220810_D7E2127763,FALTER_20221102_D4FD5EB4A6
FALTER_20211215_AF0C90B712,FALTER_20220323_B272A60E63,FALTER_20220810_BA22292727,FALTER_20220629_3529909DD4,FALTER_20220323_B272A60E63,FALTER_20220810_BA22292727
FALTER_20220817_5081C79795,FALTER_20220727_7BBF96391C,FALTER_20220518_B804602C3C,FALTER_20220223_CDDF5A96F6,FALTER_20220223_CDDF5A96F6,FALTER_20220518_B804602C3C
FALTER_20220406_3B5172364F,FALTER_20220629_3529909DD4,FALTER_20220810_D7E2127763,FALTER_20220112_8EAECAFBBC,FALTER_20220629_3529909DD4,FALTER_20220406_3B5172364F
FALTER_20220323_B272A60E63,FALTER_20220810_BA22292727,FALTER_20211215_AF0C90B712,FALTER_20220727_7BBF96391C,FALTER_20220323_B272A60E63,FALTER_20211215_AF0C90B712
FALTER_20220406_3B5172364F,FALTER_20220223_CDDF5A96F6,FALTER_20220817_5081C79795,FALTER_20220406_7C4E975FD1,FALTER_20220223_CDDF5A96F6,FALTER_20220406_7C4E975FD1
FALTER_20211222_40076C3AB9,FALTER_20220119_DC6490CEC7,FALTER_20220518_B804602C3C,FALTER_20221102_D4FD5EB4A6,FALTER_20220518_B804602C3C,FALTER_20211222_40076C3AB9
FALTER_20220810_BA22292727,FALTER_20220406_7C4E975FD1,FALTER_20221102_D4FD5EB4A6,FALTER_20220119_DC6490CEC7,FALTER_20220810_BA22292727,FALTER_20220406_7C4E975FD1
FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C,FALTER_20211222_40076C3AB9,FALTER_20220406_3B5172364F,FALTER_20220406_3B5172364F,FALTER_20211222_40076C3AB9
FALTER_20220323_B272A60E63,FALTER_20220817_5081C79795,FALTER_20220810_D7E2127763,FALTER_20220223_CDDF5A96F6,FALTER_20220323_B272A60E63,FALTER_20220810_D7E2127763
FALTER_20220629_3529909DD4,FALTER_20220727_7BBF96391C,FALTER_20211215_AF0C90B712,FALTER_20220112_8EAECAFBBC,FALTER_20220629_3529909DD4,FALTER_20220112_8EAECAFBBC
FALTER_20220119_DC6490CEC7,FALTER_20220810_BA22292727,FALTER_20220727_7BBF96391C,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220119_DC6490CEC7
FALTER_20220810_D7E2127763,FALTER_20220518_B804602C3C,FALTER_20220223_CDDF5A96F6,FALTER_20220629_3529909DD4,FALTER_20220223_CDDF5A96F6,FALTER_20220518_B804602C3C
FALTER_20221102_D4FD5EB4A6,FALTER_20220323_B272A60E63,FALTER_20220406_3B5172364F,FALTER_20220817_5081C79795,FALTER_20220323_B272A60E63,FALTER_20221102_D4FD5EB4A6
FALTER_20220406_7C4E975FD1,FALTER_20211222_40076C3AB9,FALTER_20220810_D7E2127763,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220406_7C4E975FD1
FALTER_20220112_8EAECAFBBC,FALTER_20220406_7C4E975FD1,FALTER_20220323_B272A60E63,FALTER_20220817_5081C79795,FALTER_20220323_B272A60E63,FALTER_20220406_7C4E975FD1
FALTER_20220727_7BBF96391C,FALTER_20220406_3B5172364F,FALTER_20220119_DC6490CEC7,FALTER_20220223_CDDF5A96F6,FALTER_20220223_CDDF5A96F6,FALTER_20220406_3B5172364F
FALTER_20220518_B804602C3C,FALTER_20220810_BA22292727,FALTER_20211222_40076C3AB9,FALTER_20221102_D4FD5EB4A6,FALTER_20220810_BA22292727,FALTER_20211222_40076C3AB9
FALTER_20220629_3529909DD4,FALTER_20220323_B272A60E63,FALTER_20211222_40076C3AB9,FALTER_20220727_7BBF96391C,FALTER_20220323_B272A60E63,FALTER_20211222_40076C3AB9
FALTER_20220223_CDDF5A96F6,FALTER_20220112_8EAECAFBBC,FALTER_20220406_3B5172364F,FALTER_20220810_BA22292727,FALTER_20220223_CDDF5A96F6,FALTER_20220112_8EAECAFBBC
FALTER_20220518_B804602C3C,FALTER_20221102_D4FD5EB4A6,FALTER_20220629_3529909DD4,FALTER_20220119_DC6490CEC7,FALTER_20220629_3529909DD4,FALTER_20221102_D4FD5EB4A6
FALTER_20220817_5081C79795,FALTER_20220810_D7E2127763,FALTER_20220406_7C4E975FD1,FALTER_20211215_AF0C90B712,FALTER_20220817_5081C79795,FALTER_20220406_7C4E975FD1
