AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221102_2F75E76A72,FALTER_20211222_FD8F17EAB4,FALTER_20220914_52562C2A92,FALTER_20220706_C790704099,FALTER_20220914_52562C2A92,FALTER_20211222_FD8F17EAB4
FALTER_20221116_43D92DB2B6,FALTER_20221130_04B2DA2EA2,FALTER_20221005_9988547FD8,FALTER_20220119_5B01A8DA71,FALTER_20220119_5B01A8DA71,FALTER_20221005_9988547FD8
FALTER_20211222_40076C3AB9,FALTER_20220525_04F1FE7FB2,FALTER_20221019_C7B0CE1462,FALTER_20220302_7AB21756FE,FALTER_20220525_04F1FE7FB2,FALTER_20211222_40076C3AB9
FALTER_20221026_792F2C3031,FALTER_20221109_153991C14D,FALTER_20220803_6CB53C4244,FALTER_20221130_04B2DA2EA2,FALTER_20221109_153991C14D,FALTER_20220803_6CB53C4244
FALTER_20221005_9988547FD8,FALTER_20220914_52562C2A92,FALTER_20220525_04F1FE7FB2,FALTER_20211222_40076C3AB9,FALTER_20220914_52562C2A92,FALTER_20211222_40076C3AB9
FALTER_20220302_7AB21756FE,FALTER_20221116_43D92DB2B6,FALTER_20220706_C790704099,FALTER_20211222_FD8F17EAB4,FALTER_20220302_7AB21756FE,FALTER_20211222_FD8F17EAB4
FALTER_20220119_5B01A8DA71,FALTER_20221026_792F2C3031,FALTER_20221019_C7B0CE1462,FALTER_20221102_2F75E76A72,FALTER_20220119_5B01A8DA71,FALTER_20221019_C7B0CE1462
FALTER_20221109_153991C14D,FALTER_20220803_6CB53C4244,FALTER_20211222_FD8F17EAB4,FALTER_20220302_7AB21756FE,FALTER_20220302_7AB21756FE,FALTER_20211222_FD8F17EAB4
FALTER_20221130_04B2DA2EA2,FALTER_20220914_52562C2A92,FALTER_20221109_153991C14D,FALTER_20220119_5B01A8DA71,FALTER_20221109_153991C14D,FALTER_20221130_04B2DA2EA2
FALTER_20211222_40076C3AB9,FALTER_20220706_C790704099,FALTER_20221102_2F75E76A72,FALTER_20221019_C7B0CE1462,FALTER_20220706_C790704099,FALTER_20211222_40076C3AB9
FALTER_20221116_43D92DB2B6,FALTER_20221026_792F2C3031,FALTER_20221005_9988547FD8,FALTER_20220525_04F1FE7FB2,FALTER_20221005_9988547FD8,FALTER_20221026_792F2C3031
FALTER_20220803_6CB53C4244,FALTER_20221019_C7B0CE1462,FALTER_20221109_153991C14D,FALTER_20220119_5B01A8DA71,FALTER_20221109_153991C14D,FALTER_20221019_C7B0CE1462
FALTER_20220706_C790704099,FALTER_20221102_2F75E76A72,FALTER_20211222_40076C3AB9,FALTER_20221026_792F2C3031,FALTER_20220706_C790704099,FALTER_20211222_40076C3AB9
FALTER_20220803_6CB53C4244,FALTER_20220525_04F1FE7FB2,FALTER_20221116_43D92DB2B6,FALTER_20220914_52562C2A92,FALTER_20220525_04F1FE7FB2,FALTER_20220803_6CB53C4244
FALTER_20211222_FD8F17EAB4,FALTER_20220302_7AB21756FE,FALTER_20221005_9988547FD8,FALTER_20221130_04B2DA2EA2,FALTER_20220302_7AB21756FE,FALTER_20211222_FD8F17EAB4
