AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220209_599886FEAE,FALTER_20211215_4EF6167A2A,FALTER_20220119_DC6490CEC7,FALTER_20211222_FD8F17EAB4,FALTER_20211215_4EF6167A2A,FALTER_20211222_FD8F17EAB4
FALTER_20220223_9096D06F90,FALTER_20220223_F82A34E466,FALTER_20220126_24BF81AE3A,FALTER_20211215_AF0C90B712,FALTER_20220126_24BF81AE3A,FALTER_20220223_F82A34E466
FALTER_20211215_2DA5F61445,FALTER_20211222_6ADD8598A4,FALTER_20220126_5FA47BB63A,FALTER_20211222_3028929265,FALTER_20211222_6ADD8598A4,FALTER_20211222_3028929265
FALTER_20220209_5210ACF323,FALTER_20220216_27F6C35B6E,FALTER_20220112_8EAECAFBBC,FALTER_20220223_F82A34E466,FALTER_20220216_27F6C35B6E,FALTER_20220223_F82A34E466
FALTER_20220126_24BF81AE3A,FALTER_20220119_DC6490CEC7,FALTER_20211222_6ADD8598A4,FALTER_20211215_2DA5F61445,FALTER_20220126_24BF81AE3A,FALTER_20220119_DC6490CEC7
FALTER_20211222_3028929265,FALTER_20220223_9096D06F90,FALTER_20211222_FD8F17EAB4,FALTER_20211215_4EF6167A2A,FALTER_20220223_9096D06F90,FALTER_20211222_FD8F17EAB4
FALTER_20211215_AF0C90B712,FALTER_20220209_5210ACF323,FALTER_20220126_5FA47BB63A,FALTER_20220209_599886FEAE,FALTER_20220209_599886FEAE,FALTER_20220126_5FA47BB63A
FALTER_20220216_27F6C35B6E,FALTER_20220112_8EAECAFBBC,FALTER_20211215_4EF6167A2A,FALTER_20211222_3028929265,FALTER_20220216_27F6C35B6E,FALTER_20220112_8EAECAFBBC
FALTER_20220223_F82A34E466,FALTER_20220119_DC6490CEC7,FALTER_20220216_27F6C35B6E,FALTER_20211215_AF0C90B712,FALTER_20220216_27F6C35B6E,FALTER_20211215_AF0C90B712
FALTER_20211215_2DA5F61445,FALTER_20211222_FD8F17EAB4,FALTER_20220209_599886FEAE,FALTER_20220126_5FA47BB63A,FALTER_20220209_599886FEAE,FALTER_20211222_FD8F17EAB4
FALTER_20220223_9096D06F90,FALTER_20220209_5210ACF323,FALTER_20220126_24BF81AE3A,FALTER_20211222_6ADD8598A4,FALTER_20220223_9096D06F90,FALTER_20211222_6ADD8598A4
FALTER_20220112_8EAECAFBBC,FALTER_20220126_5FA47BB63A,FALTER_20220216_27F6C35B6E,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220126_5FA47BB63A
FALTER_20211222_FD8F17EAB4,FALTER_20220209_599886FEAE,FALTER_20211215_2DA5F61445,FALTER_20220209_5210ACF323,FALTER_20220209_5210ACF323,FALTER_20211222_FD8F17EAB4
FALTER_20220112_8EAECAFBBC,FALTER_20211222_6ADD8598A4,FALTER_20220223_9096D06F90,FALTER_20220119_DC6490CEC7,FALTER_20220223_9096D06F90,FALTER_20220119_DC6490CEC7
FALTER_20211215_4EF6167A2A,FALTER_20211222_3028929265,FALTER_20220126_24BF81AE3A,FALTER_20220223_F82A34E466,FALTER_20211215_4EF6167A2A,FALTER_20220223_F82A34E466
FALTER_20220209_599886FEAE,FALTER_20220119_DC6490CEC7,FALTER_20220223_F82A34E466,FALTER_20211222_3028929265,FALTER_20211222_3028929265,FALTER_20220223_F82A34E466
FALTER_20211215_AF0C90B712,FALTER_20220126_24BF81AE3A,FALTER_20211215_4EF6167A2A,FALTER_20220112_8EAECAFBBC,FALTER_20220126_24BF81AE3A,FALTER_20220112_8EAECAFBBC
FALTER_20211222_FD8F17EAB4,FALTER_20220223_9096D06F90,FALTER_20220216_27F6C35B6E,FALTER_20211222_6ADD8598A4,FALTER_20220216_27F6C35B6E,FALTER_20211222_FD8F17EAB4
FALTER_20220126_5FA47BB63A,FALTER_20220209_5210ACF323,FALTER_20211215_2DA5F61445,FALTER_20211215_AF0C90B712,FALTER_20220209_5210ACF323,FALTER_20220126_5FA47BB63A
FALTER_20211222_3028929265,FALTER_20220209_599886FEAE,FALTER_20220209_5210ACF323,FALTER_20211215_2DA5F61445,FALTER_20220209_599886FEAE,FALTER_20211222_3028929265
FALTER_20220216_27F6C35B6E,FALTER_20220126_24BF81AE3A,FALTER_20211222_6ADD8598A4,FALTER_20220126_5FA47BB63A,FALTER_20220126_24BF81AE3A,FALTER_20220126_5FA47BB63A
FALTER_20220223_F82A34E466,FALTER_20211222_FD8F17EAB4,FALTER_20220112_8EAECAFBBC,FALTER_20220223_9096D06F90,FALTER_20220223_9096D06F90,FALTER_20211222_FD8F17EAB4
FALTER_20220119_DC6490CEC7,FALTER_20211215_4EF6167A2A,FALTER_20220216_27F6C35B6E,FALTER_20211215_2DA5F61445,FALTER_20220119_DC6490CEC7,FALTER_20211215_4EF6167A2A
FALTER_20211215_AF0C90B712,FALTER_20220119_DC6490CEC7,FALTER_20211222_FD8F17EAB4,FALTER_20220223_9096D06F90,FALTER_20220119_DC6490CEC7,FALTER_20211222_FD8F17EAB4
FALTER_20220209_5210ACF323,FALTER_20220112_8EAECAFBBC,FALTER_20211222_3028929265,FALTER_20211222_6ADD8598A4,FALTER_20220112_8EAECAFBBC,FALTER_20211222_6ADD8598A4
FALTER_20220126_24BF81AE3A,FALTER_20220209_599886FEAE,FALTER_20211215_4EF6167A2A,FALTER_20220223_F82A34E466,FALTER_20220223_F82A34E466,FALTER_20211215_4EF6167A2A
FALTER_20220126_5FA47BB63A,FALTER_20211222_FD8F17EAB4,FALTER_20211215_4EF6167A2A,FALTER_20220209_5210ACF323,FALTER_20211215_4EF6167A2A,FALTER_20211222_FD8F17EAB4
FALTER_20211222_6ADD8598A4,FALTER_20211215_AF0C90B712,FALTER_20220112_8EAECAFBBC,FALTER_20220209_599886FEAE,FALTER_20211215_AF0C90B712,FALTER_20211222_6ADD8598A4
FALTER_20220126_24BF81AE3A,FALTER_20220223_F82A34E466,FALTER_20220126_5FA47BB63A,FALTER_20211222_3028929265,FALTER_20220126_24BF81AE3A,FALTER_20211222_3028929265
FALTER_20220223_9096D06F90,FALTER_20220216_27F6C35B6E,FALTER_20220119_DC6490CEC7,FALTER_20211215_2DA5F61445,FALTER_20220119_DC6490CEC7,FALTER_20220223_9096D06F90
