AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220727_7BBF96391C,FALTER_20220112_8EAECAFBBC,FALTER_20220629_3529909DD4,FALTER_20220518_FFED435715,FALTER_20220727_7BBF96391C,FALTER_20220518_FFED435715
FALTER_20220817_5081C79795,FALTER_20221026_792F2C3031,FALTER_20220713_10A3A57EE6,FALTER_20220119_DC6490CEC7,FALTER_20221026_792F2C3031,FALTER_20220119_DC6490CEC7
FALTER_20211222_40076C3AB9,FALTER_20220511_FBF1B6E8BF,FALTER_20220713_4CEF55F4B7,FALTER_20220223_33CA357D9B,FALTER_20220713_4CEF55F4B7,FALTER_20211222_40076C3AB9
FALTER_20220720_D1344797F8,FALTER_20220810_D7E2127763,FALTER_20220615_145274EAAE,FALTER_20221026_792F2C3031,FALTER_20220615_145274EAAE,FALTER_20220810_D7E2127763
FALTER_20220713_10A3A57EE6,FALTER_20220629_3529909DD4,FALTER_20220511_FBF1B6E8BF,FALTER_20211222_40076C3AB9,FALTER_20220511_FBF1B6E8BF,FALTER_20211222_40076C3AB9
FALTER_20220223_33CA357D9B,FALTER_20220817_5081C79795,FALTER_20220518_FFED435715,FALTER_20220112_8EAECAFBBC,FALTER_20220817_5081C79795,FALTER_20220518_FFED435715
FALTER_20220119_DC6490CEC7,FALTER_20220720_D1344797F8,FALTER_20220713_4CEF55F4B7,FALTER_20220727_7BBF96391C,FALTER_20220713_4CEF55F4B7,FALTER_20220119_DC6490CEC7
FALTER_20220810_D7E2127763,FALTER_20220615_145274EAAE,FALTER_20220112_8EAECAFBBC,FALTER_20220223_33CA357D9B,FALTER_20220615_145274EAAE,FALTER_20220112_8EAECAFBBC
FALTER_20221026_792F2C3031,FALTER_20220629_3529909DD4,FALTER_20220810_D7E2127763,FALTER_20220119_DC6490CEC7,FALTER_20221026_792F2C3031,FALTER_20220119_DC6490CEC7
FALTER_20211222_40076C3AB9,FALTER_20220518_FFED435715,FALTER_20220727_7BBF96391C,FALTER_20220713_4CEF55F4B7,FALTER_20220727_7BBF96391C,FALTER_20211222_40076C3AB9
FALTER_20220817_5081C79795,FALTER_20220720_D1344797F8,FALTER_20220713_10A3A57EE6,FALTER_20220511_FBF1B6E8BF,FALTER_20220817_5081C79795,FALTER_20220713_10A3A57EE6
FALTER_20220615_145274EAAE,FALTER_20220713_4CEF55F4B7,FALTER_20220810_D7E2127763,FALTER_20220119_DC6490CEC7,FALTER_20220810_D7E2127763,FALTER_20220119_DC6490CEC7
FALTER_20220518_FFED435715,FALTER_20220727_7BBF96391C,FALTER_20211222_40076C3AB9,FALTER_20220720_D1344797F8,FALTER_20220727_7BBF96391C,FALTER_20211222_40076C3AB9
FALTER_20220615_145274EAAE,FALTER_20220511_FBF1B6E8BF,FALTER_20220817_5081C79795,FALTER_20220629_3529909DD4,FALTER_20220615_145274EAAE,FALTER_20220629_3529909DD4
FALTER_20220112_8EAECAFBBC,FALTER_20220223_33CA357D9B,FALTER_20220713_10A3A57EE6,FALTER_20221026_792F2C3031,FALTER_20221026_792F2C3031,FALTER_20220713_10A3A57EE6
FALTER_20220727_7BBF96391C,FALTER_20220629_3529909DD4,FALTER_20221026_792F2C3031,FALTER_20220223_33CA357D9B,FALTER_20220727_7BBF96391C,FALTER_20220223_33CA357D9B
FALTER_20220119_DC6490CEC7,FALTER_20220713_10A3A57EE6,FALTER_20220112_8EAECAFBBC,FALTER_20220615_145274EAAE,FALTER_20220615_145274EAAE,FALTER_20220119_DC6490CEC7
FALTER_20220518_FFED435715,FALTER_20220817_5081C79795,FALTER_20220810_D7E2127763,FALTER_20220511_FBF1B6E8BF,FALTER_20220817_5081C79795,FALTER_20220511_FBF1B6E8BF
FALTER_20220713_4CEF55F4B7,FALTER_20220720_D1344797F8,FALTER_20211222_40076C3AB9,FALTER_20220119_DC6490CEC7,FALTER_20220713_4CEF55F4B7,FALTER_20211222_40076C3AB9
FALTER_20220223_33CA357D9B,FALTER_20220727_7BBF96391C,FALTER_20220720_D1344797F8,FALTER_20211222_40076C3AB9,FALTER_20220720_D1344797F8,FALTER_20211222_40076C3AB9
FALTER_20220810_D7E2127763,FALTER_20220713_10A3A57EE6,FALTER_20220511_FBF1B6E8BF,FALTER_20220713_4CEF55F4B7,FALTER_20220713_4CEF55F4B7,FALTER_20220810_D7E2127763
FALTER_20221026_792F2C3031,FALTER_20220518_FFED435715,FALTER_20220615_145274EAAE,FALTER_20220817_5081C79795,FALTER_20221026_792F2C3031,FALTER_20220518_FFED435715
FALTER_20220629_3529909DD4,FALTER_20220112_8EAECAFBBC,FALTER_20220810_D7E2127763,FALTER_20211222_40076C3AB9,FALTER_20220629_3529909DD4,FALTER_20211222_40076C3AB9
FALTER_20220119_DC6490CEC7,FALTER_20220629_3529909DD4,FALTER_20220518_FFED435715,FALTER_20220817_5081C79795,FALTER_20220629_3529909DD4,FALTER_20220119_DC6490CEC7
FALTER_20220720_D1344797F8,FALTER_20220615_145274EAAE,FALTER_20220223_33CA357D9B,FALTER_20220511_FBF1B6E8BF,FALTER_20220615_145274EAAE,FALTER_20220223_33CA357D9B
FALTER_20220713_10A3A57EE6,FALTER_20220727_7BBF96391C,FALTER_20220112_8EAECAFBBC,FALTER_20221026_792F2C3031,FALTER_20221026_792F2C3031,FALTER_20220713_10A3A57EE6
FALTER_20220713_4CEF55F4B7,FALTER_20220518_FFED435715,FALTER_20220112_8EAECAFBBC,FALTER_20220720_D1344797F8,FALTER_20220720_D1344797F8,FALTER_20220112_8EAECAFBBC
FALTER_20220511_FBF1B6E8BF,FALTER_20220119_DC6490CEC7,FALTER_20220615_145274EAAE,FALTER_20220727_7BBF96391C,FALTER_20220727_7BBF96391C,FALTER_20220119_DC6490CEC7
FALTER_20220713_10A3A57EE6,FALTER_20221026_792F2C3031,FALTER_20220713_4CEF55F4B7,FALTER_20220223_33CA357D9B,FALTER_20221026_792F2C3031,FALTER_20220223_33CA357D9B
FALTER_20220817_5081C79795,FALTER_20220810_D7E2127763,FALTER_20220629_3529909DD4,FALTER_20211222_40076C3AB9,FALTER_20220629_3529909DD4,FALTER_20211222_40076C3AB9
