AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221026_792F2C3031,FALTER_20211222_B0A321871F,FALTER_20220309_A08F92CAF9,FALTER_20220209_5CA8DCBD6D,FALTER_20211222_B0A321871F,FALTER_20220209_5CA8DCBD6D
FALTER_20221102_DAED2975D2,FALTER_20221207_BA7F827DFF,FALTER_20220330_9754861B70,FALTER_20220119_C283C25931,FALTER_20220119_C283C25931,FALTER_20221102_DAED2975D2
FALTER_20211222_94C6D5A908,FALTER_20220202_CC707934FF,FALTER_20220615_145274EAAE,FALTER_20220126_884293D963,FALTER_20220202_CC707934FF,FALTER_20220615_145274EAAE
FALTER_20220622_8709E32326,FALTER_20221102_2F75E76A72,FALTER_20220216_1011C22CF7,FALTER_20221207_BA7F827DFF,FALTER_20221102_2F75E76A72,FALTER_20220622_8709E32326
FALTER_20220330_9754861B70,FALTER_20220309_A08F92CAF9,FALTER_20220202_CC707934FF,FALTER_20211222_94C6D5A908,FALTER_20220330_9754861B70,FALTER_20220202_CC707934FF
FALTER_20220126_884293D963,FALTER_20221102_DAED2975D2,FALTER_20220209_5CA8DCBD6D,FALTER_20211222_B0A321871F,FALTER_20220126_884293D963,FALTER_20221102_DAED2975D2
FALTER_20220119_C283C25931,FALTER_20220622_8709E32326,FALTER_20220615_145274EAAE,FALTER_20221026_792F2C3031,FALTER_20221026_792F2C3031,FALTER_20220622_8709E32326
FALTER_20221102_2F75E76A72,FALTER_20220216_1011C22CF7,FALTER_20211222_B0A321871F,FALTER_20220126_884293D963,FALTER_20211222_B0A321871F,FALTER_20220216_1011C22CF7
FALTER_20221207_BA7F827DFF,FALTER_20220309_A08F92CAF9,FALTER_20221102_2F75E76A72,FALTER_20220119_C283C25931,FALTER_20221207_BA7F827DFF,FALTER_20221102_2F75E76A72
FALTER_20211222_94C6D5A908,FALTER_20220209_5CA8DCBD6D,FALTER_20221026_792F2C3031,FALTER_20220615_145274EAAE,FALTER_20211222_94C6D5A908,FALTER_20220209_5CA8DCBD6D
FALTER_20221102_DAED2975D2,FALTER_20220622_8709E32326,FALTER_20220330_9754861B70,FALTER_20220202_CC707934FF,FALTER_20220330_9754861B70,FALTER_20221102_DAED2975D2
FALTER_20220216_1011C22CF7,FALTER_20220615_145274EAAE,FALTER_20221102_2F75E76A72,FALTER_20220119_C283C25931,FALTER_20221102_2F75E76A72,FALTER_20220216_1011C22CF7
FALTER_20220209_5CA8DCBD6D,FALTER_20221026_792F2C3031,FALTER_20211222_94C6D5A908,FALTER_20220622_8709E32326,FALTER_20221026_792F2C3031,FALTER_20220209_5CA8DCBD6D
