AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221026_792F2C3031,FALTER_20220126_A9C0B9BC16,FALTER_20220511_FBF1B6E8BF,FALTER_20220302_AE2F9C3E94,FALTER_20220302_AE2F9C3E94,FALTER_20220511_FBF1B6E8BF
FALTER_20221123_302438A100,FALTER_20221207_BA7F827DFF,FALTER_20220713_60F369F8D9,FALTER_20220202_CC707934FF,FALTER_20220713_60F369F8D9,FALTER_20221123_302438A100
FALTER_20211222_A35407C20B,FALTER_20220223_CDDF5A96F6,FALTER_20220720_D1344797F8,FALTER_20220223_33CA357D9B,FALTER_20211222_A35407C20B,FALTER_20220223_33CA357D9B
FALTER_20220921_B6B7C27F2B,FALTER_20221102_2F75E76A72,FALTER_20220427_169DDC1CA3,FALTER_20221207_BA7F827DFF,FALTER_20220427_169DDC1CA3,FALTER_20220921_B6B7C27F2B
FALTER_20220713_60F369F8D9,FALTER_20220511_FBF1B6E8BF,FALTER_20220223_CDDF5A96F6,FALTER_20211222_A35407C20B,FALTER_20211222_A35407C20B,FALTER_20220223_CDDF5A96F6
FALTER_20220223_33CA357D9B,FALTER_20221123_302438A100,FALTER_20220302_AE2F9C3E94,FALTER_20220126_A9C0B9BC16,FALTER_20220126_A9C0B9BC16,FALTER_20221123_302438A100
FALTER_20220202_CC707934FF,FALTER_20220921_B6B7C27F2B,FALTER_20220720_D1344797F8,FALTER_20221026_792F2C3031,FALTER_20220202_CC707934FF,FALTER_20220720_D1344797F8
FALTER_20221102_2F75E76A72,FALTER_20220427_169DDC1CA3,FALTER_20220126_A9C0B9BC16,FALTER_20220223_33CA357D9B,FALTER_20220126_A9C0B9BC16,FALTER_20221102_2F75E76A72
FALTER_20221207_BA7F827DFF,FALTER_20220511_FBF1B6E8BF,FALTER_20221102_2F75E76A72,FALTER_20220202_CC707934FF,FALTER_20221207_BA7F827DFF,FALTER_20220511_FBF1B6E8BF
FALTER_20211222_A35407C20B,FALTER_20220302_AE2F9C3E94,FALTER_20221026_792F2C3031,FALTER_20220720_D1344797F8,FALTER_20220302_AE2F9C3E94,FALTER_20220720_D1344797F8
FALTER_20221123_302438A100,FALTER_20220921_B6B7C27F2B,FALTER_20220713_60F369F8D9,FALTER_20220223_CDDF5A96F6,FALTER_20220713_60F369F8D9,FALTER_20221123_302438A100
FALTER_20220427_169DDC1CA3,FALTER_20220720_D1344797F8,FALTER_20221102_2F75E76A72,FALTER_20220202_CC707934FF,FALTER_20220202_CC707934FF,FALTER_20220720_D1344797F8
FALTER_20220302_AE2F9C3E94,FALTER_20221026_792F2C3031,FALTER_20211222_A35407C20B,FALTER_20220921_B6B7C27F2B,FALTER_20220302_AE2F9C3E94,FALTER_20211222_A35407C20B
FALTER_20220427_169DDC1CA3,FALTER_20220223_CDDF5A96F6,FALTER_20221123_302438A100,FALTER_20220511_FBF1B6E8BF,FALTER_20220427_169DDC1CA3,FALTER_20221123_302438A100
FALTER_20220126_A9C0B9BC16,FALTER_20220223_33CA357D9B,FALTER_20220713_60F369F8D9,FALTER_20221207_BA7F827DFF,FALTER_20220126_A9C0B9BC16,FALTER_20221207_BA7F827DFF
FALTER_20221026_792F2C3031,FALTER_20220511_FBF1B6E8BF,FALTER_20221207_BA7F827DFF,FALTER_20220223_33CA357D9B,FALTER_20221026_792F2C3031,FALTER_20220511_FBF1B6E8BF
FALTER_20220202_CC707934FF,FALTER_20220713_60F369F8D9,FALTER_20220126_A9C0B9BC16,FALTER_20220427_169DDC1CA3,FALTER_20220713_60F369F8D9,FALTER_20220427_169DDC1CA3
FALTER_20220302_AE2F9C3E94,FALTER_20221123_302438A100,FALTER_20221102_2F75E76A72,FALTER_20220223_CDDF5A96F6,FALTER_20220302_AE2F9C3E94,FALTER_20221123_302438A100
FALTER_20220720_D1344797F8,FALTER_20220921_B6B7C27F2B,FALTER_20211222_A35407C20B,FALTER_20220202_CC707934FF,FALTER_20220202_CC707934FF,FALTER_20220921_B6B7C27F2B
FALTER_20220223_33CA357D9B,FALTER_20221026_792F2C3031,FALTER_20220921_B6B7C27F2B,FALTER_20211222_A35407C20B,FALTER_20221026_792F2C3031,FALTER_20211222_A35407C20B
FALTER_20221102_2F75E76A72,FALTER_20220713_60F369F8D9,FALTER_20220223_CDDF5A96F6,FALTER_20220720_D1344797F8,FALTER_20220713_60F369F8D9,FALTER_20220223_CDDF5A96F6
FALTER_20221207_BA7F827DFF,FALTER_20220302_AE2F9C3E94,FALTER_20220427_169DDC1CA3,FALTER_20221123_302438A100,FALTER_20221207_BA7F827DFF,FALTER_20221123_302438A100
FALTER_20220511_FBF1B6E8BF,FALTER_20220126_A9C0B9BC16,FALTER_20221102_2F75E76A72,FALTER_20211222_A35407C20B,FALTER_20220126_A9C0B9BC16,FALTER_20221102_2F75E76A72
FALTER_20220202_CC707934FF,FALTER_20220511_FBF1B6E8BF,FALTER_20220302_AE2F9C3E94,FALTER_20221123_302438A100,FALTER_20220302_AE2F9C3E94,FALTER_20221123_302438A100
FALTER_20220921_B6B7C27F2B,FALTER_20220427_169DDC1CA3,FALTER_20220223_33CA357D9B,FALTER_20220223_CDDF5A96F6,FALTER_20220223_33CA357D9B,FALTER_20220223_CDDF5A96F6
FALTER_20220713_60F369F8D9,FALTER_20221026_792F2C3031,FALTER_20220126_A9C0B9BC16,FALTER_20221207_BA7F827DFF,FALTER_20220126_A9C0B9BC16,FALTER_20221026_792F2C3031
FALTER_20220720_D1344797F8,FALTER_20220302_AE2F9C3E94,FALTER_20220126_A9C0B9BC16,FALTER_20220921_B6B7C27F2B,FALTER_20220126_A9C0B9BC16,FALTER_20220921_B6B7C27F2B
