AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220615_1EF1296218,FALTER_20211222_62A097197C,FALTER_20220316_2C171D199C,FALTER_20220216_7565FEF4B8,FALTER_20211222_62A097197C,FALTER_20220216_7565FEF4B8
FALTER_20220921_54188C4144,FALTER_20221130_047A3E3939,FALTER_20220323_A9D672E0A5,FALTER_20211222_E7A625F5A8,FALTER_20221130_047A3E3939,FALTER_20220921_54188C4144
FALTER_20211215_AF0C90B712,FALTER_20220126_5FA47BB63A,FALTER_20220413_3CDF83A3F8,FALTER_20220119_2B788365FB,FALTER_20220413_3CDF83A3F8,FALTER_20220126_5FA47BB63A
FALTER_20220525_6E2660BD13,FALTER_20220713_1238E421E5,FALTER_20220309_54EDF6DE99,FALTER_20221130_047A3E3939,FALTER_20221130_047A3E3939,FALTER_20220525_6E2660BD13
FALTER_20220323_A9D672E0A5,FALTER_20220316_2C171D199C,FALTER_20220126_5FA47BB63A,FALTER_20211215_AF0C90B712,FALTER_20220316_2C171D199C,FALTER_20220126_5FA47BB63A
FALTER_20220119_2B788365FB,FALTER_20220921_54188C4144,FALTER_20220216_7565FEF4B8,FALTER_20211222_62A097197C,FALTER_20211222_62A097197C,FALTER_20220921_54188C4144
FALTER_20211222_E7A625F5A8,FALTER_20220525_6E2660BD13,FALTER_20220413_3CDF83A3F8,FALTER_20220615_1EF1296218,FALTER_20220615_1EF1296218,FALTER_20220525_6E2660BD13
FALTER_20220713_1238E421E5,FALTER_20220309_54EDF6DE99,FALTER_20211222_62A097197C,FALTER_20220119_2B788365FB,FALTER_20211222_62A097197C,FALTER_20220119_2B788365FB
FALTER_20221130_047A3E3939,FALTER_20220316_2C171D199C,FALTER_20220713_1238E421E5,FALTER_20211222_E7A625F5A8,FALTER_20220316_2C171D199C,FALTER_20211222_E7A625F5A8
FALTER_20211215_AF0C90B712,FALTER_20220216_7565FEF4B8,FALTER_20220615_1EF1296218,FALTER_20220413_3CDF83A3F8,FALTER_20220615_1EF1296218,FALTER_20211215_AF0C90B712
FALTER_20220921_54188C4144,FALTER_20220525_6E2660BD13,FALTER_20220323_A9D672E0A5,FALTER_20220126_5FA47BB63A,FALTER_20220323_A9D672E0A5,FALTER_20220921_54188C4144
FALTER_20220309_54EDF6DE99,FALTER_20220413_3CDF83A3F8,FALTER_20220713_1238E421E5,FALTER_20211222_E7A625F5A8,FALTER_20220713_1238E421E5,FALTER_20211222_E7A625F5A8
FALTER_20220216_7565FEF4B8,FALTER_20220615_1EF1296218,FALTER_20211215_AF0C90B712,FALTER_20220525_6E2660BD13,FALTER_20220615_1EF1296218,FALTER_20211215_AF0C90B712
FALTER_20220309_54EDF6DE99,FALTER_20220126_5FA47BB63A,FALTER_20220921_54188C4144,FALTER_20220316_2C171D199C,FALTER_20220316_2C171D199C,FALTER_20220921_54188C4144
FALTER_20211222_62A097197C,FALTER_20220119_2B788365FB,FALTER_20220323_A9D672E0A5,FALTER_20221130_047A3E3939,FALTER_20211222_62A097197C,FALTER_20220323_A9D672E0A5
FALTER_20220615_1EF1296218,FALTER_20220316_2C171D199C,FALTER_20221130_047A3E3939,FALTER_20220119_2B788365FB,FALTER_20220316_2C171D199C,FALTER_20220119_2B788365FB
FALTER_20211222_E7A625F5A8,FALTER_20220323_A9D672E0A5,FALTER_20211222_62A097197C,FALTER_20220309_54EDF6DE99,FALTER_20211222_62A097197C,FALTER_20211222_E7A625F5A8
FALTER_20220216_7565FEF4B8,FALTER_20220921_54188C4144,FALTER_20220713_1238E421E5,FALTER_20220126_5FA47BB63A,FALTER_20220713_1238E421E5,FALTER_20220921_54188C4144
FALTER_20220413_3CDF83A3F8,FALTER_20220525_6E2660BD13,FALTER_20211215_AF0C90B712,FALTER_20211222_E7A625F5A8,FALTER_20220525_6E2660BD13,FALTER_20211222_E7A625F5A8
FALTER_20220119_2B788365FB,FALTER_20220615_1EF1296218,FALTER_20220525_6E2660BD13,FALTER_20211215_AF0C90B712,FALTER_20220615_1EF1296218,FALTER_20211215_AF0C90B712
FALTER_20220713_1238E421E5,FALTER_20220323_A9D672E0A5,FALTER_20220126_5FA47BB63A,FALTER_20220413_3CDF83A3F8,FALTER_20220713_1238E421E5,FALTER_20220126_5FA47BB63A
FALTER_20221130_047A3E3939,FALTER_20220216_7565FEF4B8,FALTER_20220309_54EDF6DE99,FALTER_20220921_54188C4144,FALTER_20221130_047A3E3939,FALTER_20220921_54188C4144
FALTER_20220316_2C171D199C,FALTER_20211222_62A097197C,FALTER_20220713_1238E421E5,FALTER_20211215_AF0C90B712,FALTER_20220316_2C171D199C,FALTER_20211215_AF0C90B712
FALTER_20211222_E7A625F5A8,FALTER_20220316_2C171D199C,FALTER_20220216_7565FEF4B8,FALTER_20220921_54188C4144,FALTER_20220316_2C171D199C,FALTER_20211222_E7A625F5A8
FALTER_20220525_6E2660BD13,FALTER_20220309_54EDF6DE99,FALTER_20220119_2B788365FB,FALTER_20220126_5FA47BB63A,FALTER_20220525_6E2660BD13,FALTER_20220126_5FA47BB63A
FALTER_20220323_A9D672E0A5,FALTER_20220615_1EF1296218,FALTER_20211222_62A097197C,FALTER_20221130_047A3E3939,FALTER_20211222_62A097197C,FALTER_20220323_A9D672E0A5
FALTER_20220413_3CDF83A3F8,FALTER_20220216_7565FEF4B8,FALTER_20211222_62A097197C,FALTER_20220525_6E2660BD13,FALTER_20211222_62A097197C,FALTER_20220413_3CDF83A3F8
