AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220817_512C1255EC,FALTER_20211222_E7A625F5A8,FALTER_20220615_1EF1296218,FALTER_20220427_1300084AD4,FALTER_20220615_1EF1296218,FALTER_20220817_512C1255EC
FALTER_20220921_B9FD8D69D4,FALTER_20221005_0B9417B765,FALTER_20220629_37298F6748,FALTER_20220309_42E429DB72,FALTER_20220629_37298F6748,FALTER_20220921_B9FD8D69D4
FALTER_20211222_40076C3AB9,FALTER_20220420_E36D89532A,FALTER_20220713_1D271A2558,FALTER_20220406_0612DEC310,FALTER_20220406_0612DEC310,FALTER_20211222_40076C3AB9
FALTER_20220803_C55FC5328C,FALTER_20220831_FF44114BB6,FALTER_20220504_5747281EBB,FALTER_20221005_0B9417B765,FALTER_20221005_0B9417B765,FALTER_20220803_C55FC5328C
FALTER_20220629_37298F6748,FALTER_20220615_1EF1296218,FALTER_20220420_E36D89532A,FALTER_20211222_40076C3AB9,FALTER_20220615_1EF1296218,FALTER_20211222_40076C3AB9
FALTER_20220406_0612DEC310,FALTER_20220921_B9FD8D69D4,FALTER_20220427_1300084AD4,FALTER_20211222_E7A625F5A8,FALTER_20220406_0612DEC310,FALTER_20220921_B9FD8D69D4
FALTER_20220309_42E429DB72,FALTER_20220803_C55FC5328C,FALTER_20220713_1D271A2558,FALTER_20220817_512C1255EC,FALTER_20220817_512C1255EC,FALTER_20220803_C55FC5328C
FALTER_20220831_FF44114BB6,FALTER_20220504_5747281EBB,FALTER_20211222_E7A625F5A8,FALTER_20220406_0612DEC310,FALTER_20220406_0612DEC310,FALTER_20220831_FF44114BB6
FALTER_20221005_0B9417B765,FALTER_20220615_1EF1296218,FALTER_20220831_FF44114BB6,FALTER_20220309_42E429DB72,FALTER_20220615_1EF1296218,FALTER_20220831_FF44114BB6
FALTER_20211222_40076C3AB9,FALTER_20220427_1300084AD4,FALTER_20220817_512C1255EC,FALTER_20220713_1D271A2558,FALTER_20220427_1300084AD4,FALTER_20211222_40076C3AB9
FALTER_20220921_B9FD8D69D4,FALTER_20220803_C55FC5328C,FALTER_20220629_37298F6748,FALTER_20220420_E36D89532A,FALTER_20220629_37298F6748,FALTER_20220803_C55FC5328C
FALTER_20220504_5747281EBB,FALTER_20220713_1D271A2558,FALTER_20220831_FF44114BB6,FALTER_20220309_42E429DB72,FALTER_20220504_5747281EBB,FALTER_20220713_1D271A2558
FALTER_20220427_1300084AD4,FALTER_20220817_512C1255EC,FALTER_20211222_40076C3AB9,FALTER_20220803_C55FC5328C,FALTER_20220427_1300084AD4,FALTER_20211222_40076C3AB9
FALTER_20220504_5747281EBB,FALTER_20220420_E36D89532A,FALTER_20220921_B9FD8D69D4,FALTER_20220615_1EF1296218,FALTER_20220615_1EF1296218,FALTER_20220921_B9FD8D69D4
FALTER_20211222_E7A625F5A8,FALTER_20220406_0612DEC310,FALTER_20220629_37298F6748,FALTER_20221005_0B9417B765,FALTER_20220406_0612DEC310,FALTER_20211222_E7A625F5A8
FALTER_20220817_512C1255EC,FALTER_20220615_1EF1296218,FALTER_20221005_0B9417B765,FALTER_20220406_0612DEC310,FALTER_20220615_1EF1296218,FALTER_20221005_0B9417B765
FALTER_20220309_42E429DB72,FALTER_20220629_37298F6748,FALTER_20211222_E7A625F5A8,FALTER_20220504_5747281EBB,FALTER_20220629_37298F6748,FALTER_20211222_E7A625F5A8
FALTER_20220427_1300084AD4,FALTER_20220921_B9FD8D69D4,FALTER_20220831_FF44114BB6,FALTER_20220420_E36D89532A,FALTER_20220420_E36D89532A,FALTER_20220831_FF44114BB6
FALTER_20220713_1D271A2558,FALTER_20220803_C55FC5328C,FALTER_20211222_40076C3AB9,FALTER_20220309_42E429DB72,FALTER_20220309_42E429DB72,FALTER_20220803_C55FC5328C
FALTER_20220406_0612DEC310,FALTER_20220817_512C1255EC,FALTER_20220803_C55FC5328C,FALTER_20211222_40076C3AB9,FALTER_20220406_0612DEC310,FALTER_20211222_40076C3AB9
FALTER_20220831_FF44114BB6,FALTER_20220629_37298F6748,FALTER_20220420_E36D89532A,FALTER_20220713_1D271A2558,FALTER_20220629_37298F6748,FALTER_20220713_1D271A2558
FALTER_20221005_0B9417B765,FALTER_20220427_1300084AD4,FALTER_20220504_5747281EBB,FALTER_20220921_B9FD8D69D4,FALTER_20221005_0B9417B765,FALTER_20220504_5747281EBB
FALTER_20220615_1EF1296218,FALTER_20211222_E7A625F5A8,FALTER_20220831_FF44114BB6,FALTER_20211222_40076C3AB9,FALTER_20220615_1EF1296218,FALTER_20211222_40076C3AB9
FALTER_20220309_42E429DB72,FALTER_20220615_1EF1296218,FALTER_20220427_1300084AD4,FALTER_20220921_B9FD8D69D4,FALTER_20220615_1EF1296218,FALTER_20220309_42E429DB72
FALTER_20220803_C55FC5328C,FALTER_20220504_5747281EBB,FALTER_20220406_0612DEC310,FALTER_20220420_E36D89532A,FALTER_20220406_0612DEC310,FALTER_20220803_C55FC5328C
FALTER_20220629_37298F6748,FALTER_20220817_512C1255EC,FALTER_20211222_E7A625F5A8,FALTER_20221005_0B9417B765,FALTER_20220629_37298F6748,FALTER_20220817_512C1255EC
FALTER_20220713_1D271A2558,FALTER_20220427_1300084AD4,FALTER_20211222_E7A625F5A8,FALTER_20220803_C55FC5328C,FALTER_20220427_1300084AD4,FALTER_20220803_C55FC5328C
FALTER_20220420_E36D89532A,FALTER_20220309_42E429DB72,FALTER_20220504_5747281EBB,FALTER_20220817_512C1255EC,FALTER_20220420_E36D89532A,FALTER_20220817_512C1255EC
FALTER_20220629_37298F6748,FALTER_20221005_0B9417B765,FALTER_20220713_1D271A2558,FALTER_20220406_0612DEC310,FALTER_20220406_0612DEC310,FALTER_20220713_1D271A2558
FALTER_20220921_B9FD8D69D4,FALTER_20220831_FF44114BB6,FALTER_20220615_1EF1296218,FALTER_20211222_40076C3AB9,FALTER_20220615_1EF1296218,FALTER_20211222_40076C3AB9
