AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_6FEA039BD9,FALTER_20211222_E7A625F5A8,FALTER_20220504_BC34714783,FALTER_20220427_7C0FE67882,FALTER_20220928_6FEA039BD9,FALTER_20220427_7C0FE67882
FALTER_20221102_0CC30051D1,FALTER_20221130_047A3E3939,FALTER_20220622_A64E9B9B08,FALTER_20220119_2B788365FB,FALTER_20221102_0CC30051D1,FALTER_20220622_A64E9B9B08
FALTER_20211215_73A6B01646,FALTER_20220406_0612DEC310,FALTER_20220629_37298F6748,FALTER_20220316_2C171D199C,FALTER_20220316_2C171D199C,FALTER_20220629_37298F6748
FALTER_20220727_1EC5B851D7,FALTER_20221019_E3973C2441,FALTER_20220427_DED67CAAD1,FALTER_20221130_047A3E3939,FALTER_20221130_047A3E3939,FALTER_20220727_1EC5B851D7
FALTER_20220622_A64E9B9B08,FALTER_20220504_BC34714783,FALTER_20220406_0612DEC310,FALTER_20211215_73A6B01646,FALTER_20220406_0612DEC310,FALTER_20220622_A64E9B9B08
FALTER_20220316_2C171D199C,FALTER_20221102_0CC30051D1,FALTER_20220427_7C0FE67882,FALTER_20211222_E7A625F5A8,FALTER_20221102_0CC30051D1,FALTER_20220427_7C0FE67882
FALTER_20220119_2B788365FB,FALTER_20220727_1EC5B851D7,FALTER_20220629_37298F6748,FALTER_20220928_6FEA039BD9,FALTER_20220928_6FEA039BD9,FALTER_20220727_1EC5B851D7
FALTER_20221019_E3973C2441,FALTER_20220427_DED67CAAD1,FALTER_20211222_E7A625F5A8,FALTER_20220316_2C171D199C,FALTER_20220316_2C171D199C,FALTER_20211222_E7A625F5A8
FALTER_20221130_047A3E3939,FALTER_20220504_BC34714783,FALTER_20221019_E3973C2441,FALTER_20220119_2B788365FB,FALTER_20221130_047A3E3939,FALTER_20221019_E3973C2441
FALTER_20211215_73A6B01646,FALTER_20220427_7C0FE67882,FALTER_20220928_6FEA039BD9,FALTER_20220629_37298F6748,FALTER_20220928_6FEA039BD9,FALTER_20220629_37298F6748
FALTER_20221102_0CC30051D1,FALTER_20220727_1EC5B851D7,FALTER_20220622_A64E9B9B08,FALTER_20220406_0612DEC310,FALTER_20221102_0CC30051D1,FALTER_20220622_A64E9B9B08
FALTER_20220427_DED67CAAD1,FALTER_20220629_37298F6748,FALTER_20221019_E3973C2441,FALTER_20220119_2B788365FB,FALTER_20221019_E3973C2441,FALTER_20220629_37298F6748
FALTER_20220427_7C0FE67882,FALTER_20220928_6FEA039BD9,FALTER_20211215_73A6B01646,FALTER_20220727_1EC5B851D7,FALTER_20220928_6FEA039BD9,FALTER_20220427_7C0FE67882
FALTER_20220427_DED67CAAD1,FALTER_20220406_0612DEC310,FALTER_20221102_0CC30051D1,FALTER_20220504_BC34714783,FALTER_20221102_0CC30051D1,FALTER_20220427_DED67CAAD1
FALTER_20211222_E7A625F5A8,FALTER_20220316_2C171D199C,FALTER_20220622_A64E9B9B08,FALTER_20221130_047A3E3939,FALTER_20220316_2C171D199C,FALTER_20211222_E7A625F5A8
FALTER_20220928_6FEA039BD9,FALTER_20220504_BC34714783,FALTER_20221130_047A3E3939,FALTER_20220316_2C171D199C,FALTER_20220316_2C171D199C,FALTER_20220928_6FEA039BD9
FALTER_20220119_2B788365FB,FALTER_20220622_A64E9B9B08,FALTER_20211222_E7A625F5A8,FALTER_20220427_DED67CAAD1,FALTER_20220119_2B788365FB,FALTER_20211222_E7A625F5A8
FALTER_20220427_7C0FE67882,FALTER_20221102_0CC30051D1,FALTER_20221019_E3973C2441,FALTER_20220406_0612DEC310,FALTER_20221102_0CC30051D1,FALTER_20220427_7C0FE67882
FALTER_20220629_37298F6748,FALTER_20220727_1EC5B851D7,FALTER_20211215_73A6B01646,FALTER_20220119_2B788365FB,FALTER_20220119_2B788365FB,FALTER_20220629_37298F6748
FALTER_20220316_2C171D199C,FALTER_20220928_6FEA039BD9,FALTER_20220727_1EC5B851D7,FALTER_20211215_73A6B01646,FALTER_20220316_2C171D199C,FALTER_20220727_1EC5B851D7
FALTER_20221019_E3973C2441,FALTER_20220622_A64E9B9B08,FALTER_20220406_0612DEC310,FALTER_20220629_37298F6748,FALTER_20221019_E3973C2441,FALTER_20220629_37298F6748
FALTER_20221130_047A3E3939,FALTER_20220427_7C0FE67882,FALTER_20220427_DED67CAAD1,FALTER_20221102_0CC30051D1,FALTER_20221102_0CC30051D1,FALTER_20220427_7C0FE67882
FALTER_20220504_BC34714783,FALTER_20211222_E7A625F5A8,FALTER_20221019_E3973C2441,FALTER_20211215_73A6B01646,FALTER_20221019_E3973C2441,FALTER_20211222_E7A625F5A8
FALTER_20220119_2B788365FB,FALTER_20220504_BC34714783,FALTER_20220427_7C0FE67882,FALTER_20221102_0CC30051D1,FALTER_20221102_0CC30051D1,FALTER_20220427_7C0FE67882
FALTER_20220727_1EC5B851D7,FALTER_20220427_DED67CAAD1,FALTER_20220316_2C171D199C,FALTER_20220406_0612DEC310,FALTER_20220316_2C171D199C,FALTER_20220727_1EC5B851D7
FALTER_20220622_A64E9B9B08,FALTER_20220928_6FEA039BD9,FALTER_20211222_E7A625F5A8,FALTER_20221130_047A3E3939,FALTER_20221130_047A3E3939,FALTER_20211222_E7A625F5A8
FALTER_20220629_37298F6748,FALTER_20220427_7C0FE67882,FALTER_20211222_E7A625F5A8,FALTER_20220727_1EC5B851D7,FALTER_20220727_1EC5B851D7,FALTER_20220629_37298F6748
FALTER_20220406_0612DEC310,FALTER_20220119_2B788365FB,FALTER_20220427_DED67CAAD1,FALTER_20220928_6FEA039BD9,FALTER_20220928_6FEA039BD9,FALTER_20220427_DED67CAAD1
FALTER_20220622_A64E9B9B08,FALTER_20221130_047A3E3939,FALTER_20220629_37298F6748,FALTER_20220316_2C171D199C,FALTER_20220316_2C171D199C,FALTER_20220629_37298F6748
FALTER_20221102_0CC30051D1,FALTER_20221019_E3973C2441,FALTER_20220504_BC34714783,FALTER_20211215_73A6B01646,FALTER_20221102_0CC30051D1,FALTER_20211215_73A6B01646
