AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221109_DEA41CC1CA,FALTER_20220202_CC707934FF,FALTER_20220720_D1344797F8,FALTER_20220511_71668B1344,FALTER_20220202_CC707934FF,FALTER_20220511_71668B1344
FALTER_20221116_A6633188CA,FALTER_20221123_302438A100,FALTER_20220907_32FFE15B42,FALTER_20220316_2C171D199C,FALTER_20221116_A6633188CA,FALTER_20220907_32FFE15B42
FALTER_20211222_A35407C20B,FALTER_20220427_169DDC1CA3,FALTER_20220914_3A40909FEF,FALTER_20220316_6C068A7877,FALTER_20220427_169DDC1CA3,FALTER_20211222_A35407C20B
FALTER_20221109_153991C14D,FALTER_20221116_43D92DB2B6,FALTER_20220706_8CD3003E2A,FALTER_20221123_302438A100,FALTER_20220706_8CD3003E2A,FALTER_20221116_43D92DB2B6
FALTER_20220907_32FFE15B42,FALTER_20220720_D1344797F8,FALTER_20220427_169DDC1CA3,FALTER_20211222_A35407C20B,FALTER_20220427_169DDC1CA3,FALTER_20220907_32FFE15B42
FALTER_20220316_6C068A7877,FALTER_20221116_A6633188CA,FALTER_20220511_71668B1344,FALTER_20220202_CC707934FF,FALTER_20220511_71668B1344,FALTER_20220202_CC707934FF
FALTER_20220316_2C171D199C,FALTER_20221109_153991C14D,FALTER_20220914_3A40909FEF,FALTER_20221109_DEA41CC1CA,FALTER_20220316_2C171D199C,FALTER_20221109_DEA41CC1CA
FALTER_20221116_43D92DB2B6,FALTER_20220706_8CD3003E2A,FALTER_20220202_CC707934FF,FALTER_20220316_6C068A7877,FALTER_20220202_CC707934FF,FALTER_20220706_8CD3003E2A
FALTER_20221123_302438A100,FALTER_20220720_D1344797F8,FALTER_20221116_43D92DB2B6,FALTER_20220316_2C171D199C,FALTER_20220720_D1344797F8,FALTER_20220316_2C171D199C
FALTER_20211222_A35407C20B,FALTER_20220511_71668B1344,FALTER_20221109_DEA41CC1CA,FALTER_20220914_3A40909FEF,FALTER_20221109_DEA41CC1CA,FALTER_20211222_A35407C20B
FALTER_20221116_A6633188CA,FALTER_20221109_153991C14D,FALTER_20220907_32FFE15B42,FALTER_20220427_169DDC1CA3,FALTER_20220427_169DDC1CA3,FALTER_20220907_32FFE15B42
FALTER_20220706_8CD3003E2A,FALTER_20220914_3A40909FEF,FALTER_20221116_43D92DB2B6,FALTER_20220316_2C171D199C,FALTER_20221116_43D92DB2B6,FALTER_20220706_8CD3003E2A
FALTER_20220511_71668B1344,FALTER_20221109_DEA41CC1CA,FALTER_20211222_A35407C20B,FALTER_20221109_153991C14D,FALTER_20221109_DEA41CC1CA,FALTER_20211222_A35407C20B
FALTER_20220706_8CD3003E2A,FALTER_20220427_169DDC1CA3,FALTER_20221116_A6633188CA,FALTER_20220720_D1344797F8,FALTER_20220720_D1344797F8,FALTER_20220706_8CD3003E2A
FALTER_20220202_CC707934FF,FALTER_20220316_6C068A7877,FALTER_20220907_32FFE15B42,FALTER_20221123_302438A100,FALTER_20220202_CC707934FF,FALTER_20220907_32FFE15B42
FALTER_20221109_DEA41CC1CA,FALTER_20220720_D1344797F8,FALTER_20221123_302438A100,FALTER_20220316_6C068A7877,FALTER_20220720_D1344797F8,FALTER_20221123_302438A100
FALTER_20220316_2C171D199C,FALTER_20220907_32FFE15B42,FALTER_20220202_CC707934FF,FALTER_20220706_8CD3003E2A,FALTER_20220202_CC707934FF,FALTER_20220907_32FFE15B42
FALTER_20220511_71668B1344,FALTER_20221116_A6633188CA,FALTER_20221116_43D92DB2B6,FALTER_20220427_169DDC1CA3,FALTER_20220427_169DDC1CA3,FALTER_20220511_71668B1344
FALTER_20220914_3A40909FEF,FALTER_20221109_153991C14D,FALTER_20211222_A35407C20B,FALTER_20220316_2C171D199C,FALTER_20221109_153991C14D,FALTER_20220316_2C171D199C
FALTER_20220316_6C068A7877,FALTER_20221109_DEA41CC1CA,FALTER_20221109_153991C14D,FALTER_20211222_A35407C20B,FALTER_20220316_6C068A7877,FALTER_20221109_153991C14D
FALTER_20221116_43D92DB2B6,FALTER_20220907_32FFE15B42,FALTER_20220427_169DDC1CA3,FALTER_20220914_3A40909FEF,FALTER_20220427_169DDC1CA3,FALTER_20220907_32FFE15B42
FALTER_20221123_302438A100,FALTER_20220511_71668B1344,FALTER_20220706_8CD3003E2A,FALTER_20221116_A6633188CA,FALTER_20221116_A6633188CA,FALTER_20220706_8CD3003E2A
FALTER_20220720_D1344797F8,FALTER_20220202_CC707934FF,FALTER_20221116_43D92DB2B6,FALTER_20211222_A35407C20B,FALTER_20220202_CC707934FF,FALTER_20211222_A35407C20B
FALTER_20220316_2C171D199C,FALTER_20220720_D1344797F8,FALTER_20220511_71668B1344,FALTER_20221116_A6633188CA,FALTER_20220720_D1344797F8,FALTER_20220316_2C171D199C
FALTER_20221109_153991C14D,FALTER_20220706_8CD3003E2A,FALTER_20220316_6C068A7877,FALTER_20220427_169DDC1CA3,FALTER_20220427_169DDC1CA3,FALTER_20220706_8CD3003E2A
FALTER_20220907_32FFE15B42,FALTER_20221109_DEA41CC1CA,FALTER_20220202_CC707934FF,FALTER_20221123_302438A100,FALTER_20220202_CC707934FF,FALTER_20220907_32FFE15B42
FALTER_20220914_3A40909FEF,FALTER_20220511_71668B1344,FALTER_20220202_CC707934FF,FALTER_20221109_153991C14D,FALTER_20220202_CC707934FF,FALTER_20220914_3A40909FEF
FALTER_20220427_169DDC1CA3,FALTER_20220316_2C171D199C,FALTER_20220706_8CD3003E2A,FALTER_20221109_DEA41CC1CA,FALTER_20221109_DEA41CC1CA,FALTER_20220316_2C171D199C
FALTER_20220907_32FFE15B42,FALTER_20221123_302438A100,FALTER_20220914_3A40909FEF,FALTER_20220316_6C068A7877,FALTER_20220316_6C068A7877,FALTER_20220907_32FFE15B42
FALTER_20221116_A6633188CA,FALTER_20221116_43D92DB2B6,FALTER_20220720_D1344797F8,FALTER_20211222_A35407C20B,FALTER_20220720_D1344797F8,FALTER_20211222_A35407C20B
