AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220629_F0DB742EBB,FALTER_20220202_1FE4BE6C3E,FALTER_20220504_B5C78580C5,FALTER_20220427_C2A595CE2C,FALTER_20220427_C2A595CE2C,FALTER_20220202_1FE4BE6C3E
FALTER_20220928_CFA81D0C01,FALTER_20221019_514C421A69,FALTER_20220518_15FDDA31FA,FALTER_20220316_A159C3BA90,FALTER_20220316_A159C3BA90,FALTER_20220928_CFA81D0C01
FALTER_20211222_F49F759200,FALTER_20220427_3DEB29E6EB,FALTER_20220518_48A2BFD79B,FALTER_20220427_0D1A8C49C9,FALTER_20220427_3DEB29E6EB,FALTER_20220518_48A2BFD79B
FALTER_20220622_796906B417,FALTER_20220831_B7A8984CB4,FALTER_20220427_DED67CAAD1,FALTER_20221019_514C421A69,FALTER_20220427_DED67CAAD1,FALTER_20220831_B7A8984CB4
FALTER_20220518_15FDDA31FA,FALTER_20220504_B5C78580C5,FALTER_20220427_3DEB29E6EB,FALTER_20211222_F49F759200,FALTER_20220427_3DEB29E6EB,FALTER_20211222_F49F759200
FALTER_20220427_0D1A8C49C9,FALTER_20220928_CFA81D0C01,FALTER_20220427_C2A595CE2C,FALTER_20220202_1FE4BE6C3E,FALTER_20220427_C2A595CE2C,FALTER_20220928_CFA81D0C01
FALTER_20220316_A159C3BA90,FALTER_20220622_796906B417,FALTER_20220518_48A2BFD79B,FALTER_20220629_F0DB742EBB,FALTER_20220316_A159C3BA90,FALTER_20220518_48A2BFD79B
FALTER_20220831_B7A8984CB4,FALTER_20220427_DED67CAAD1,FALTER_20220202_1FE4BE6C3E,FALTER_20220427_0D1A8C49C9,FALTER_20220427_DED67CAAD1,FALTER_20220831_B7A8984CB4
FALTER_20221019_514C421A69,FALTER_20220504_B5C78580C5,FALTER_20220831_B7A8984CB4,FALTER_20220316_A159C3BA90,FALTER_20221019_514C421A69,FALTER_20220831_B7A8984CB4
FALTER_20211222_F49F759200,FALTER_20220427_C2A595CE2C,FALTER_20220629_F0DB742EBB,FALTER_20220518_48A2BFD79B,FALTER_20220427_C2A595CE2C,FALTER_20220518_48A2BFD79B
FALTER_20220928_CFA81D0C01,FALTER_20220622_796906B417,FALTER_20220518_15FDDA31FA,FALTER_20220427_3DEB29E6EB,FALTER_20220427_3DEB29E6EB,FALTER_20220928_CFA81D0C01
FALTER_20220427_DED67CAAD1,FALTER_20220518_48A2BFD79B,FALTER_20220831_B7A8984CB4,FALTER_20220316_A159C3BA90,FALTER_20220427_DED67CAAD1,FALTER_20220831_B7A8984CB4
FALTER_20220427_C2A595CE2C,FALTER_20220629_F0DB742EBB,FALTER_20211222_F49F759200,FALTER_20220622_796906B417,FALTER_20220427_C2A595CE2C,FALTER_20220622_796906B417
FALTER_20220427_DED67CAAD1,FALTER_20220427_3DEB29E6EB,FALTER_20220928_CFA81D0C01,FALTER_20220504_B5C78580C5,FALTER_20220427_DED67CAAD1,FALTER_20220928_CFA81D0C01
FALTER_20220202_1FE4BE6C3E,FALTER_20220427_0D1A8C49C9,FALTER_20220518_15FDDA31FA,FALTER_20221019_514C421A69,FALTER_20221019_514C421A69,FALTER_20220202_1FE4BE6C3E
FALTER_20220629_F0DB742EBB,FALTER_20220504_B5C78580C5,FALTER_20221019_514C421A69,FALTER_20220427_0D1A8C49C9,FALTER_20221019_514C421A69,FALTER_20220629_F0DB742EBB
FALTER_20220316_A159C3BA90,FALTER_20220518_15FDDA31FA,FALTER_20220202_1FE4BE6C3E,FALTER_20220427_DED67CAAD1,FALTER_20220427_DED67CAAD1,FALTER_20220202_1FE4BE6C3E
