AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220511_964B3F8189,FALTER_20220126_305FB76FE8,FALTER_20220309_A08F92CAF9,FALTER_20220223_269DAE0D66,FALTER_20220126_305FB76FE8,FALTER_20220511_964B3F8189
FALTER_20220817_5081C79795,FALTER_20221116_43D92DB2B6,FALTER_20220309_FE59453C09,FALTER_20220209_16A18EC699,FALTER_20221116_43D92DB2B6,FALTER_20220209_16A18EC699
FALTER_20211222_A35407C20B,FALTER_20220209_729DD3199A,FALTER_20220406_EA00DAEC2E,FALTER_20220209_5CA8DCBD6D,FALTER_20220406_EA00DAEC2E,FALTER_20211222_A35407C20B
FALTER_20220511_71668B1344,FALTER_20220601_A6AE0B2BDE,FALTER_20220223_788A4CE7AA,FALTER_20221116_43D92DB2B6,FALTER_20221116_43D92DB2B6,FALTER_20220511_71668B1344
FALTER_20220309_FE59453C09,FALTER_20220309_A08F92CAF9,FALTER_20220209_729DD3199A,FALTER_20211222_A35407C20B,FALTER_20220309_A08F92CAF9,FALTER_20211222_A35407C20B
FALTER_20220209_5CA8DCBD6D,FALTER_20220817_5081C79795,FALTER_20220223_269DAE0D66,FALTER_20220126_305FB76FE8,FALTER_20220126_305FB76FE8,FALTER_20220817_5081C79795
FALTER_20220209_16A18EC699,FALTER_20220511_71668B1344,FALTER_20220406_EA00DAEC2E,FALTER_20220511_964B3F8189,FALTER_20220406_EA00DAEC2E,FALTER_20220209_16A18EC699
FALTER_20220601_A6AE0B2BDE,FALTER_20220223_788A4CE7AA,FALTER_20220126_305FB76FE8,FALTER_20220209_5CA8DCBD6D,FALTER_20220126_305FB76FE8,FALTER_20220601_A6AE0B2BDE
FALTER_20221116_43D92DB2B6,FALTER_20220309_A08F92CAF9,FALTER_20220601_A6AE0B2BDE,FALTER_20220209_16A18EC699,FALTER_20220309_A08F92CAF9,FALTER_20220209_16A18EC699
FALTER_20211222_A35407C20B,FALTER_20220223_269DAE0D66,FALTER_20220511_964B3F8189,FALTER_20220406_EA00DAEC2E,FALTER_20220406_EA00DAEC2E,FALTER_20211222_A35407C20B
FALTER_20220817_5081C79795,FALTER_20220511_71668B1344,FALTER_20220309_FE59453C09,FALTER_20220209_729DD3199A,FALTER_20220511_71668B1344,FALTER_20220209_729DD3199A
