AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221012_D6A09D0DB1,FALTER_20220202_A019507BCD,FALTER_20220713_64B0D5FF2A,FALTER_20220525_04F1FE7FB2,FALTER_20221012_D6A09D0DB1,FALTER_20220713_64B0D5FF2A
FALTER_20221109_153991C14D,FALTER_20221116_43D92DB2B6,FALTER_20220727_ABE58D8343,FALTER_20220223_D15FB0110C,FALTER_20221116_43D92DB2B6,FALTER_20220223_D15FB0110C
FALTER_20220126_6BE64DF1B1,FALTER_20220316_5CF345D5B2,FALTER_20220803_106498EA98,FALTER_20220309_1C6B8418BE,FALTER_20220803_106498EA98,FALTER_20220309_1C6B8418BE
FALTER_20220810_16DD7A6FE3,FALTER_20221026_792F2C3031,FALTER_20220713_1238E421E5,FALTER_20221116_43D92DB2B6,FALTER_20221026_792F2C3031,FALTER_20220713_1238E421E5
FALTER_20220727_ABE58D8343,FALTER_20220713_64B0D5FF2A,FALTER_20220316_5CF345D5B2,FALTER_20220126_6BE64DF1B1,FALTER_20220713_64B0D5FF2A,FALTER_20220316_5CF345D5B2
FALTER_20220309_1C6B8418BE,FALTER_20221109_153991C14D,FALTER_20220525_04F1FE7FB2,FALTER_20220202_A019507BCD,FALTER_20221109_153991C14D,FALTER_20220525_04F1FE7FB2
FALTER_20220223_D15FB0110C,FALTER_20220810_16DD7A6FE3,FALTER_20220803_106498EA98,FALTER_20221012_D6A09D0DB1,FALTER_20221012_D6A09D0DB1,FALTER_20220810_16DD7A6FE3
FALTER_20221026_792F2C3031,FALTER_20220713_1238E421E5,FALTER_20220202_A019507BCD,FALTER_20220309_1C6B8418BE,FALTER_20220202_A019507BCD,FALTER_20220309_1C6B8418BE
FALTER_20221116_43D92DB2B6,FALTER_20220713_64B0D5FF2A,FALTER_20221026_792F2C3031,FALTER_20220223_D15FB0110C,FALTER_20220713_64B0D5FF2A,FALTER_20221116_43D92DB2B6
FALTER_20220126_6BE64DF1B1,FALTER_20220525_04F1FE7FB2,FALTER_20221012_D6A09D0DB1,FALTER_20220803_106498EA98,FALTER_20221012_D6A09D0DB1,FALTER_20220126_6BE64DF1B1
FALTER_20221109_153991C14D,FALTER_20220810_16DD7A6FE3,FALTER_20220727_ABE58D8343,FALTER_20220316_5CF345D5B2,FALTER_20220727_ABE58D8343,FALTER_20220810_16DD7A6FE3
FALTER_20220713_1238E421E5,FALTER_20220803_106498EA98,FALTER_20221026_792F2C3031,FALTER_20220223_D15FB0110C,FALTER_20220803_106498EA98,FALTER_20220713_1238E421E5
FALTER_20220525_04F1FE7FB2,FALTER_20221012_D6A09D0DB1,FALTER_20220126_6BE64DF1B1,FALTER_20220810_16DD7A6FE3,FALTER_20221012_D6A09D0DB1,FALTER_20220810_16DD7A6FE3
FALTER_20220713_1238E421E5,FALTER_20220316_5CF345D5B2,FALTER_20221109_153991C14D,FALTER_20220713_64B0D5FF2A,FALTER_20220713_64B0D5FF2A,FALTER_20220713_1238E421E5
FALTER_20220202_A019507BCD,FALTER_20220309_1C6B8418BE,FALTER_20220727_ABE58D8343,FALTER_20221116_43D92DB2B6,FALTER_20220727_ABE58D8343,FALTER_20220309_1C6B8418BE
FALTER_20221012_D6A09D0DB1,FALTER_20220713_64B0D5FF2A,FALTER_20221116_43D92DB2B6,FALTER_20220309_1C6B8418BE,FALTER_20221012_D6A09D0DB1,FALTER_20221116_43D92DB2B6
FALTER_20220223_D15FB0110C,FALTER_20220727_ABE58D8343,FALTER_20220202_A019507BCD,FALTER_20220713_1238E421E5,FALTER_20220727_ABE58D8343,FALTER_20220223_D15FB0110C
