AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220921_95D62844CB,FALTER_20220504_A97F204383,FALTER_20220720_D1344797F8,FALTER_20220615_145274EAAE,FALTER_20220615_145274EAAE,FALTER_20220921_95D62844CB
FALTER_20220928_1A92012FF7,FALTER_20220928_39715CE467,FALTER_20220803_106498EA98,FALTER_20220518_EE8013F8A2,FALTER_20220928_1A92012FF7,FALTER_20220803_106498EA98
FALTER_20211222_A35407C20B,FALTER_20220608_C34C463ECE,FALTER_20220824_23AE4161B4,FALTER_20220525_B332E0066F,FALTER_20220608_C34C463ECE,FALTER_20211222_A35407C20B
FALTER_20220824_5B4920888E,FALTER_20220921_DEA5AF20FF,FALTER_20220615_58EE1B7D7A,FALTER_20220928_39715CE467,FALTER_20220921_DEA5AF20FF,FALTER_20220824_5B4920888E
FALTER_20220803_106498EA98,FALTER_20220720_D1344797F8,FALTER_20220608_C34C463ECE,FALTER_20211222_A35407C20B,FALTER_20220608_C34C463ECE,FALTER_20211222_A35407C20B
FALTER_20220525_B332E0066F,FALTER_20220928_1A92012FF7,FALTER_20220615_145274EAAE,FALTER_20220504_A97F204383,FALTER_20220928_1A92012FF7,FALTER_20220525_B332E0066F
FALTER_20220518_EE8013F8A2,FALTER_20220824_5B4920888E,FALTER_20220824_23AE4161B4,FALTER_20220921_95D62844CB,FALTER_20220518_EE8013F8A2,FALTER_20220824_23AE4161B4
FALTER_20220921_DEA5AF20FF,FALTER_20220615_58EE1B7D7A,FALTER_20220504_A97F204383,FALTER_20220525_B332E0066F,FALTER_20220921_DEA5AF20FF,FALTER_20220525_B332E0066F
FALTER_20220928_39715CE467,FALTER_20220720_D1344797F8,FALTER_20220921_DEA5AF20FF,FALTER_20220518_EE8013F8A2,FALTER_20220921_DEA5AF20FF,FALTER_20220720_D1344797F8
FALTER_20211222_A35407C20B,FALTER_20220615_145274EAAE,FALTER_20220921_95D62844CB,FALTER_20220824_23AE4161B4,FALTER_20220615_145274EAAE,FALTER_20211222_A35407C20B
FALTER_20220928_1A92012FF7,FALTER_20220824_5B4920888E,FALTER_20220803_106498EA98,FALTER_20220608_C34C463ECE,FALTER_20220928_1A92012FF7,FALTER_20220803_106498EA98
FALTER_20220615_58EE1B7D7A,FALTER_20220824_23AE4161B4,FALTER_20220921_DEA5AF20FF,FALTER_20220518_EE8013F8A2,FALTER_20220921_DEA5AF20FF,FALTER_20220824_23AE4161B4
FALTER_20220615_145274EAAE,FALTER_20220921_95D62844CB,FALTER_20211222_A35407C20B,FALTER_20220824_5B4920888E,FALTER_20220615_145274EAAE,FALTER_20211222_A35407C20B
