user_id,article_id_BM25,TOP-K_BM25
brnada-FALTER_20211201_1FE873026D,FALTER_20211215_AF0C90B712,1
brnada-FALTER_20211201_1FE873026D,FALTER_20220126_5FA47BB63A,2
brnada-FALTER_20211201_1FE873026D,FALTER_20220803_6CB53C4244,3
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_FD8F17EAB4,4
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_E7A625F5A8,5
brnada-FALTER_20211201_1FE873026D,FALTER_20220608_E67B54FF98,6
brnada-FALTER_20211201_1FE873026D,FALTER_20220406_7C4E975FD1,7
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_04EB44E2A2,8
brnada-FALTER_20211201_1FE873026D,FALTER_20220209_1C0C95BDCB,9
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_40076C3AB9,10
brnada-FALTER_20211201_1FE873026D,FALTER_20220119_DC6490CEC7,11
brnada-FALTER_20211201_1FE873026D,FALTER_20220330_73CAF44312,12
brnada-FALTER_20211201_1FE873026D,FALTER_20221005_AEB2C76D66,13
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_A35407C20B,14
brnada-FALTER_20211201_1FE873026D,FALTER_20220112_8EAECAFBBC,15
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220608_F70F9ED753,1
brnada-FALTER_20211208_CCFF6620C5,FALTER_20211222_40076C3AB9,2
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220525_276AE25D1D,3
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220518_B804602C3C,4
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220713_932271D866,5
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221005_77EFA42061,6
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221026_18EA474D13,7
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220907_E1CBB33DF0,8
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221005_9D521E3226,9
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220518_D9551C3082,10
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221116_3913A4A32F,11
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221130_040A811F32,12
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220309_F7DC749A0D,13
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220323_7BA7F66071,14
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220126_5FA47BB63A,15
brnada-FALTER_20211215_2A088C305E,FALTER_20211222_04EB44E2A2,1
brnada-FALTER_20211215_2A088C305E,FALTER_20220608_393A7DC474,2
brnada-FALTER_20211215_2A088C305E,FALTER_20220525_276AE25D1D,3
brnada-FALTER_20211215_2A088C305E,FALTER_20220921_54188C4144,4
brnada-FALTER_20211215_2A088C305E,FALTER_20220112_8EAECAFBBC,5
brnada-FALTER_20211215_2A088C305E,FALTER_20211222_E7A625F5A8,6
brnada-FALTER_20211215_2A088C305E,FALTER_20221116_43D92DB2B6,7
brnada-FALTER_20211215_2A088C305E,FALTER_20220615_FAF392ED7C,8
brnada-FALTER_20211215_2A088C305E,FALTER_20220209_D48F09F14F,9
brnada-FALTER_20211215_2A088C305E,FALTER_20221109_6B8EF9C1FB,10
brnada-FALTER_20211215_2A088C305E,FALTER_20220803_F2C9E4BA31,11
brnada-FALTER_20211215_2A088C305E,FALTER_20220921_347CB5C321,12
brnada-FALTER_20211215_2A088C305E,FALTER_20220209_A2A33B7FC0,13
brnada-FALTER_20211215_2A088C305E,FALTER_20220727_7BBF96391C,14
brnada-FALTER_20211215_2A088C305E,FALTER_20220706_8CD3003E2A,15
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220622_0B5FC98B29,1
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220119_C283C25931,2
