editor_name_BWS,query_article_BWS,article_id_BWS,TOP-K_BWS,Score_BWS,editor_name_BM25,query_article_BM25,article_id_BM25,TOP-K_BM25,Score_BM25
brnada,FALTER_20211201_1FE873026D,FALTER_20220608_E67B54FF98,1,0.875,brnada,FALTER_20211201_1FE873026D,FALTER_20211215_AF0C90B712,1,51.91
brnada,FALTER_20211201_1FE873026D,FALTER_20220330_73CAF44312,2,0.75,brnada,FALTER_20211201_1FE873026D,FALTER_20220126_5FA47BB63A,2,50.180901
brnada,FALTER_20211201_1FE873026D,FALTER_20220126_5FA47BB63A,3,0.5,brnada,FALTER_20211201_1FE873026D,FALTER_20220803_6CB53C4244,3,43.941399
brnada,FALTER_20211201_1FE873026D,FALTER_20220119_DC6490CEC7,4,0.5,brnada,FALTER_20211201_1FE873026D,FALTER_20211222_FD8F17EAB4,4,43.192799
brnada,FALTER_20211201_1FE873026D,FALTER_20211215_AF0C90B712,5,0.375,brnada,FALTER_20211201_1FE873026D,FALTER_20211222_E7A625F5A8,5,43.116798
brnada,FALTER_20211201_1FE873026D,FALTER_20220209_1C0C95BDCB,6,0.25,brnada,FALTER_20211201_1FE873026D,FALTER_20220608_E67B54FF98,6,42.783798
brnada,FALTER_20211201_1FE873026D,FALTER_20220803_6CB53C4244,7,0.25,brnada,FALTER_20211201_1FE873026D,FALTER_20220406_7C4E975FD1,7,41.085999
brnada,FALTER_20211201_1FE873026D,FALTER_20220112_8EAECAFBBC,8,0.125,brnada,FALTER_20211201_1FE873026D,FALTER_20211222_04EB44E2A2,8,40.8046
brnada,FALTER_20211201_1FE873026D,FALTER_20220406_7C4E975FD1,9,0.0,brnada,FALTER_20211201_1FE873026D,FALTER_20220209_1C0C95BDCB,9,39.646099
brnada,FALTER_20211201_1FE873026D,FALTER_20221005_AEB2C76D66,10,-0.25,brnada,FALTER_20211201_1FE873026D,FALTER_20211222_40076C3AB9,10,39.420898
brnada,FALTER_20211201_1FE873026D,FALTER_20211222_04EB44E2A2,11,-0.375,brnada,FALTER_20211201_1FE873026D,FALTER_20220119_DC6490CEC7,11,38.979
brnada,FALTER_20211201_1FE873026D,FALTER_20211222_E7A625F5A8,12,-0.625,brnada,FALTER_20211201_1FE873026D,FALTER_20220330_73CAF44312,12,38.4893
brnada,FALTER_20211201_1FE873026D,FALTER_20211222_A35407C20B,13,-0.625,brnada,FALTER_20211201_1FE873026D,FALTER_20221005_AEB2C76D66,13,38.082199
brnada,FALTER_20211201_1FE873026D,FALTER_20211222_FD8F17EAB4,14,-0.875,brnada,FALTER_20211201_1FE873026D,FALTER_20211222_A35407C20B,14,37.470699
brnada,FALTER_20211201_1FE873026D,FALTER_20211222_40076C3AB9,15,-0.875,brnada,FALTER_20211201_1FE873026D,FALTER_20220112_8EAECAFBBC,15,36.324001
brnada,FALTER_20211208_CCFF6620C5,FALTER_20220525_276AE25D1D,1,1.0,brnada,FALTER_20211208_CCFF6620C5,FALTER_20220608_F70F9ED753,1,70.435799
brnada,FALTER_20211208_CCFF6620C5,FALTER_20221116_3913A4A32F,2,0.625,brnada,FALTER_20211208_CCFF6620C5,FALTER_20211222_40076C3AB9,2,50.418499
brnada,FALTER_20211208_CCFF6620C5,FALTER_20221005_9D521E3226,3,0.625,brnada,FALTER_20211208_CCFF6620C5,FALTER_20220525_276AE25D1D,3,50.189999
brnada,FALTER_20211208_CCFF6620C5,FALTER_20221005_77EFA42061,4,0.625,brnada,FALTER_20211208_CCFF6620C5,FALTER_20220518_B804602C3C,4,48.828098
brnada,FALTER_20211208_CCFF6620C5,FALTER_20211222_40076C3AB9,5,0.25,brnada,FALTER_20211208_CCFF6620C5,FALTER_20220713_932271D866,5,45.4655
brnada,FALTER_20211208_CCFF6620C5,FALTER_20220323_7BA7F66071,6,0.25,brnada,FALTER_20211208_CCFF6620C5,FALTER_20221005_77EFA42061,6,45.378601
brnada,FALTER_20211208_CCFF6620C5,FALTER_20220713_932271D866,7,0.0,brnada,FALTER_20211208_CCFF6620C5,FALTER_20221026_18EA474D13,7,44.481899
brnada,FALTER_20211208_CCFF6620C5,FALTER_20221130_040A811F32,8,0.0,brnada,FALTER_20211208_CCFF6620C5,FALTER_20220907_E1CBB33DF0,8,44.371399
